dossier,PDF link,type of study,guideline,absorption,distribution,metabolism,excretion,level in urine,level in faeces,level in blood/plasma,level in skin ,level in carcass/tissues,overall recoveries,exposure C max,exposure T max,exposure AUC,half-life absorption,half-life elimination,exposure other,statistical variation,signs of toxicity,"interpretation, discussion and result",conclusion,species/strain,source,age at start of experiment,"age unit (day, week, month, year)",weight,weight unit,"sex ( female, male)",feeding and housing,n subject / group,formulation and justification of use,details of preparation,amount applied,achieved concentration,vehicle,stability and homogenity,pH,solid,liquid,purity (%),chemical batch nr,additional info,purity %,batch number,specific activity,dose levels,dose level unit,volume,extraction,detection,"route (oral, dermal, iv, ip, other)","scheme (single, repeated, other)",surface & site condition,"dermal patching technic (non occlusive, semi-occlusive, occlusive)","period of exposure (minutes, hour, day, month, year)","tape stripping, removing, washing",samples,timing of the study,vehicle name,vehicle concentration,SCCS comment to test,year,GLP,klimisch score,Ref. in dossier,additional info,own comment
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,,,,,"single: 242.9 ng/ml, repeated: 384.0 ng/ml","single: 4.0h, repeated: 2.0h","single: 2818 ng*h/ml, repeated: 2844 ng*h/ml (AUC 0-->24h = 8,833 ng*h/mL per 3 doses per 24 hours)",,single: 14.6h,,auc value is dose-normalized (mean auc(0-->24) corrected for number of brushings on that day (auc 24/3),,"intra-subject comparisons were made following single and multiple oral doses of triclosan [lucker et al., 1990 (109), colgate-palmolive, 1997b (115)], and following ingestion of triclosan-containing dental slurry and triclosan aqueous solution [concordia research laboratories, 1997a (110)]. the mean auc values for the single- and dose-normalized multiple-dose exposures were not different, suggesting a linear disposition for triclosan after repeated brushing [colgate-palmolive, 1997b (115)]. dose-normalized auc and c max values were similar following ingestion of triclosan-containing dental slurry and triclosan aqueous solution, suggesting that each route of administration results in similar levels of exposure to triclosan [concordia research laboratories, 1997a (110)].","there was no significant difference between the single- and repeated-dose auc values, suggesting a complete elimination of the daily triclosan dose, and no increase in the triclosan level during repeated brushing/ingestion",human ,,,adult,,,,,,,,,,,,,,,,,,,,,3.75 & 11.25,mg/d ,,,,"oral, toothpaste",single & repeated ( 3 times a day),,,12 days,,sampling was conducted following the first of 3 brushings on day 12 of the multiple-dose phase of the study,,,,"c max and auc values obtained from adult subjects generally increased with increasing dose levels, with c max values ranging from 23.3 to 974.1 ng/mL, and auc values ranging from 208 to 11,237 ng*h/mL for single doses ranging from 1.0 mg/dose to 10 mg/day (corresponding to approximately 0.017 and 0.17 mg/kg body weight, respectively, for a 60 kg adult). for multiple doses ranging from 4 to 18 mg/day (corresponding to 0.067 and 0.30 mg/kg body weight/day for a 60 kg adult), c max values ranged from 26.7 to 878 ng/mL, and auc values ranged from 329 to 21,8856 ng*h/mL. corresponding t max values ranged from 1.5 to 5.0 hours and from 4.08 to 16.0 hours for single and multiple doses, respectively. t ½ values obtained from adult subjects remained fairly constant across all the studies reviewed, ranging from 13.4 to 21.0 hours. the mean elimination rate constants (Kel)  in adult subjects exposed to single oral doses of triclosan from aqueous solution (Kel = 0.043 h-1), dental slurry (Kel = 0.043 h-1) and toothpaste use (Kel = 0.0742 h-1) are similar to those calculated in children. thus, the rate of elimination is comparable in children and adults",1997,,,115,colgate-palmolive. plasma concentrations ranged from 353 to 384 between hours 1 to 7 of the study.,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,"blood samples showed comparable mean levels of 16 and 14 ng/mL at 3 and 12 weeks, respectively",,,,,,,,,,,,,,human ,,,,,,,,,toothpaste ,,,0.2,,,,,,,,,,,,,,,,,"oral, toothpaste",,,,12 weeks,,blood at week 3 and 12,,,,"altogether, the data from these 3 studies show consistency in plasma triclosan levels following the use of dentifrice containing 0.2% triclosan. in a review of the data from colgate-palmolive, 1989 (113), lin, 1989 (135), and colgate-palmolive, 1997b (115), this conclusion was extended to dentifrices containing triclosan at levels up to 0.3% [bagley and lin, 2000 (142)]. in addition, the data suggest that there is no accumulation of triclosan levels as reflected in comparable plasma levels over the time course of each study, suggesting a lack of evidence of bioaccumulation of triclosan. In general, due to a pronounced first-pass effect, only trace amounts of the parent compound (i.e., unconjugated or free triclosan) are detected in the plasma. As a result of the first-pass effect, there is near total conversion of triclosan to glucuronide and sulphate conjugates [Lin, 1989 (135) and 2000 (118)]. In summary, the relative ratio of glucuronide to sulphate conjugates alters with repeat dosing (i.e., as plasma steady-state triclosan levels are reached) versus single dosing. Generally, lower plasma concentrations of total triclosan are associated with glucuronide conjugates as the predominant metabolite. With increasing plasma levels of total triclosan, there is an increase in circulating sulphate conjugates, which can reach levels greater than those attained by glucuronide conjugates, given high enough plasma levels of total triclosan.",1989,,,135,lin; double-blind study,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,total triclosan levels in plasma were consistently in the range of 27 to 40 ng/mL from 4 weeks to the end of the 52-week exposure period,,,,,,,,,,,,,,human ,,,,,,,,,dentifrice,,,0.2,,,,,,,,,,,,,,,,,"oral, toothpaste",,,,52 weeks,,,,,,"altogether, the data from these 3 studies show consistency in plasma triclosan levels following the use of dentifrice containing 0.2% triclosan. in a review of the data from colgate-palmolive, 1989 (113), lin, 1989 (135), and colgate-palmolive, 1997b (115), this conclusion was extended to dentifrices containing triclosan at levels up to 0.3% [bagley and lin, 2000 (142)]. in addition, the data suggest that there is no accumulation of triclosan levels as reflected in comparable plasma levels over the time course of each study, suggesting a lack of evidence of bioaccumulation of triclosan.",1991,,,106,safford,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,"Steady-state plasma levels of free and total (free + conjugated) triclosan were measured. Only about 10% of total triclosan was present as free (unconjugated) triclosan. Total plasma triclosan levels were consistently higher in males than females. At steady-state (on Day 20), triclosan levels in plasma were: 95.2 ng/mL in males and 47.4 ng/mL in females; 73.1 ng/mL for both sexes combined. Steady-state plasma levels were estimated to have been reached by Day 7.plasma levels of total triclosan ranged between 85 and 101 ng/mL between days 5 to 20 in males and 41 to 47 ng/mL in females over the same time period.  Plasma levels rapidly decreased after cessation of hand washing. ",,,,85 and 101 ng/mL between Days 5 to 20 in males and 41 to 47 ng/mL in females,,,,1.4d,,,,,data suggest a balance between absorption and elimination and a lack of bioaccumulation following dermal absorption. There was considerable inter-individual variability in plasma levels. Investigators concluded that use of the 1% hand wash formulation resulted in low levels of systemic exposure (lower than oral route). ,human ,,,,,,f & m,,13,commercial hand wash containing 1% triclosan,,~3-5 mL of the test materia,1,,,,,,,,,,,,,,,,,dermal,"repeated, 6 times/day ~every 2 h during the day for 20 consecutive days ",,,15seconds/washing followed by through rinsing ,,,20 days,,,,2002,,,134,ciba speciality chemicals,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,87%,11%,,,,more than 98% of the administered dose was recovered in the urine and faeces ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test substance: labelled triclosan ,,,,200.5,mg ( corresponding to 3.3 mg/kg body weight),,,,"oral, gelatine capsule",single,,,,,,,,,,1979,,,121,stierlin,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,Only a very small percentage of the administered dose was absorbed and was excreted completely;,,,, 2 to 7% was recovered in the urine,0.5 to 2% in the faeces,"The blood concentrations of GP 41 353 were ≤0.01 µg/mL at all time points measured (1, 3, 5, 9 and 24 h after application).",,,,,,,,,,,,the remainder of the test substance found in the dressing,,human ,,,,,,f,,2,,,,,,,,,,,,test substance: radiolabelled GP 41 535,,,,0.34 & 0.51 ,mg /kg bw,,,,dermal,,8*8 cm,occluded,24h,,"1, 3, 5, 9 & 24 h ",,,,"The in vivo percutaneous absorption of triclosan following single applications of triclosancontaining products (e.g., cream and soap) has been consistently reported as only a small proportion of the applied dose (i.e., generally ≤9%) [Stierlin, 1972b (121); Maibach, 1969 (123); Caudal et al., 1974 (125); Schenkel and Furia, 1965 (126); Thompson et al., 1975a (127)].",1972,,,121,stierlin. One dose / subject ,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,,,,,,,,,,,,,"the results indicated that approximately 25% of the triclosan dose is retained in the mouth following tooth brushing, with the remainder being recovered on the toothbrush, expectorated and rinsed out. the use of a non-triclosan mouth rinse following brushing decreases oral retention further, with approximately 14% of the retained triclosan (i.e., of the 25%) being recovered by the mouth rinse",,,,,,,,,,,"toothpaste containing triclosan, mouth rinse formulated to recover triclosan after the second brushing",,2 mg triclosan per brusing,,,,,,,,,,,,,,,,,,"oral, toothpaste",single daily,,,,,saliva samples collected after the first two daily brushings & mouth rinse sample collected following the use of a mouth rinse ,,,,,1978,,,117,gilbert,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,"oral retention of triclosan was measured to be 4 to 13% of the daily dose, and buccal absorption of triclosan was estimated to be 2 to 4% of the daily dose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mouth rinse,,,,,,,,,,,,,,,4.5,mg,,,,oral,twice daily,,,21 days,,,,,," In general, due to a pronounced first-pass effect, only trace amounts of the parent compound (i.e., unconjugated or free triclosan) are detected in the plasma. As a result of the first-pass effect, there is near total conversion of triclosan to glucuronide and sulphate conjugates [Lin, 1989 (135) and 2000 (118)]. ",2000,,,118,lin,
"alkyl (c16, c18, c22) trimethylammonium chloride",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,non OECD,0.59 ± 0.13% corresponding to 1.18±0.26 µg/cm²,"of the radioactivity applied, 13.2% remained on the skin.",,most of the absorbed amount was excreted in the urine,0.35% of the applied dose during the first 24 hours,,,,,95.3±2.4%,,,,,,,,,,,rat,,,,,,,,5,,,0.2mg/cm2,,,,,,aqueous solution of the test substance,,,test substance: laurtrimonium bromide (dodecyl trimethyl ammonium bromide),,,,1,%,200µl,,,dermal,,10cm2,non occlusive ,18minutes,rinsed off after exposure time,,,,,"the in vivo study described, is considered relevant for the following reasons: - the test was performed in a leave-on setting with an analogous compound to the molecules under study. - the analogous compound (laurtrimonium bromide) has a lower molecular weight, which means that its dermal absorption is likely to be higher than the value for the compounds under study. - the in vivo study was performed in the rat, which is known to display a dermal absorption of about ten times higher than human skin. therefore the setting of this in vivo study can be considered as a worst case and the dermal absorption value can be used for calculation of the margin of safety. ",1979,,,32,it's included in the submission because of the chemical analogy between the tested compound and cetrimonium chloride (hexadecyl trimethyl ammonium chloride),
"alkyl (c16, c18, c22) trimethylammonium chloride",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,non OECD,"0.093±0.061% of the applied radioactivity, corresponding to 0.11±0.075µg/cm²","of the applied radioactivity, 4.11% remained on the treated skin site",, only 0.016% of the amount applied was excreted during the first 24 hours.,,,no significant radioactivity was detected in the blood during the experiment.,,,92.6±3.1%,,,,,,,,,,,rat,,,,,,,,5,hair rinse-off formulation containing 0.42%  test substance,,0.123mg/cm2,,,,,,,,,test substance: laurtrimonium bromide (dodecyl trimethyl ammonium bromide),,,,261-293,mg,,,,dermal,,,no occlusion,8 minutes,rinsed off after exposure time,,,,,"the in vivo study described, is considered relevant for the following reasons: - the test was performed in a leave-on setting with an analogous compound to the molecules under study. - the analogous compound (laurtrimonium bromide) has a lower molecular weight, which means that its dermal absorption is likely to be higher than the value for the compounds under study. - the in vivo study was performed in the rat, which is known to display a dermal absorption of about ten times higher than human skin. therefore the setting of this in vivo study can be considered as a worst case and the dermal absorption value can be used for calculation of the margin of safety. ",1979,,,32,it's included in the submission because of the chemical analogy between the tested compound and cetrimonium chloride (hexadecyl trimethyl ammonium chloride),
"alkyl (c16, c18, c22) trimethylammonium chloride",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,non OECD,"while in the experiment with rinsing, the excretion of radioactivity was always lower on day 2 compared to day 1, in this experiment there was a marked increase in absorption on day 2. the study authors suggested that this was caused by slight but invisible skin damage. the percutaneous absorption of the applied radioactivity was 3.15±1.65%, corresponding to 28.4±14.9 µg/cm².",,,,,,,,,96.4±7.1%,,,,,,,,,,,rat,,,,,,,,3,,,0.90mg/cm2,,,,,,aqueous solution,,,test substance: laurtrimonium bromide (dodecyl trimethyl ammonium bromide),,,,3,%,240µl,,,dermal,,8cm2,non occlusive ,,without rinsing ,,,,,"the in vivo study described, is considered relevant for the following reasons: - the test was performed in a leave-on setting with an analogous compound to the molecules under study. - the analogous compound (laurtrimonium bromide) has a lower molecular weight, which means that its dermal absorption is likely to be higher than the value for the compounds under study. - the in vivo study was performed in the rat, which is known to display a dermal absorption of about ten times higher than human skin. therefore the setting of this in vivo study can be considered as a worst case and the dermal absorption value can be used for calculation of the margin of safety. ",1979,,,32,it's included in the submission because of the chemical analogy between the tested compound and cetrimonium chloride (hexadecyl trimethyl ammonium chloride),
"alkyl (c16, c18, c22) trimethylammonium chloride",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,non OECD,"about 80% of the dose of radioactivity was found in the gastrointestinal tract 8 hours after the administration,","only small amounts of radioactivity were found in the liver (about 0.8% of administered radioactivity), kidneys, spleen, heart, lung and skeletal muscles.",,about 2% of the administrated radioactivity was excreted in the bile during the first 12 hours after treatment,within three days of ingestion 1% was excreted via urine,within three days of ingestion 92% of the radioactivity was excreted via the faeces,small amounts were found in the blood plasma,,,,,,,,,,,,,the authors conclude that cetrimonium bromide shows to be poorly absorbed in the gastro-intestinal tract and not readily metabolized in the rat body. ,rat,,,,,,,,,,,,,,,,,,,,test substance: 14C-labeled cetrimonium bromide,,,,0.8,mg/kg,,,,oral gavage,,,,,,,,,,,1975,,,43,,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,non OECD,14.70 ± 1.95 μCi (11.37 ± 1.51 mg bmhca),,"table: radioactivity excreted in the urine [% of dose administered]: sample collection period (h) / subject number 1 – 2 -3 / mean ± sd; 0-2 / 0.01 – 0.02 – nd* / 0.01 ± 0.01; 2-4 / 0.16 – 0.24 – 0.10 / 0.17 ± 0.07; 4-6 / 0.24 – 0.18 – 0.16 / 0.19 ± 0.04; 6-12 / 0.13 – 1.20 – 0.37 / 0.57 ± 0.56; 12-24 / 0.30 – 0.76 – 0.26 / 0.44 ± 0.28; 24-48 / nd – nd – nd / -; 48-72 / nd – nd – nd / -; 72-96 / nd – nd – nd / -; 96-120 / nd – nd – nd / -; total / 0.84 – 2.40 – 0.89 / 1.38 ± 0.89. * nd = not detected. the amounts of radioactivity on adhesive tapes at 6 hrs and at 120 hrs declined with each successive tape stripping; the mean total amount of dose removed by successive tape stripping was 0.1127% at 6 hrs and 0.0012% at 120 hrs. a mean 63.12% of the applied radioactivity was recovered from the gauze dressing used to occlude the site of application between 0 - 6 hrs; a further 3.76% was removed by washing the skin using an etoh swab at 6 hrs and 3.06% was recovered from gauze dressings used to occlude the treated areas of skin during 6 - 120 hrs. based on this, it was concluded that limited percutaneous absorption and systemic bioavailability occurs when [14c]-bmhca is applied onto the skin of human volunteers. ",,mean of 1.38%,,,,,,,,,,,,,,"although the mean amount of radioactivity dispensed was 20.89 ± 0.23 μCi, the mean dose remaining on the backs of the volunteers and thus available for absorption was 14.70 ± 1.95 μCi (11.37 ± 1.51 mg bmhca). following the topical application a mean of 1.38% was excreted in urine during the first 24 hrs. afterwards no radioactivity could be detected in the urine anymore, and none was found in faeces or blood samples. ","The amounts of radioactivity on adhesive tapes at 6 hrs and at 120 hrs declined with each successive tape stripping; the mean total amount of dose removed by successive tape stripping was 0.1127% at 6 hrs and 0.0012% at 120 hrs. A mean 63.12% of the applied radioactivity was recovered from the gauze dressing used to occlude the site of application between 0 - 6 hrs; a further 3.76% was removed by washing the skin using an EtOH swab at 6 hrs and 3.06% was recovered from gauze dressings used to occlude the treated areas of skin during 6 - 120 hrs. Based on this, it was concluded that limited percutaneous absorption and systemic bioavailability occurs when [14C]-BMHCA is applied onto the skin of human volunteers. ",human,,,,,,m,,3,,,,,,,,,,,6252-91,test substance: [14c]-bmhca,>98%,19154-162-40 ,215.7 μCi/mg,14.7,μCi,4 x 0.25 mL = 1 ml [14c]-bmhca ,,,dermal,,10 cm x 10 cm (4* 2.5 cm x 2.5 cm),occluded,6h,after washing stripped with five successive applications of adhesive tape,5 adhesive tape strips; urine samples until 120 hrs after application (9 times); faeces until 5 days after application; blood samples until 72 hrs after application,,70% etoh in water,,"sccs conclusion on dermal/percutaneous absorption: dermal absorption studies in vitro demonstrated species-specific effects. the bioavailable portion was found much higher in rats (66.1 and 50.8%) when compared to mini pigs (0.8% and 4.9%), thereby depending on the solvent used (methylcarbitol or ethanol). in a second study, applying two real cream formulations (that contained 0.6% bmhca), rat skin again allowed a much higher penetration (45.2% and 78.4%) than mini pig skin (23.6% and 25.7%). nevertheless, the fraction of bioavailable bmhca was found strongly increased in the mini pig experiment when moving from dissolved bmhca to real cream formulations (4.9% vs. 25.7%). concurrently, administration of bmhca onto the skin of experimental animals and humans demonstrated permeation and systemic availability of this compound. percutaneous absorption of bmhca in humans was lower when compared with rats (1.4 vs. 19%). upon dermal application of [14c]-bmhca (11.37 mg test substance in 70% ethanol on 10 cm2 back skin) on 3 human volunteers for 6 hours, a mean of 1.4% (range 0.8 – 2.4%) of the applied dose was excreted in urine within 24 hours, whereas radioactivity was below the detection limit in urine samples of later time points and in all faeces and blood plasma samples. the overall mean total recovery of topical application of [14c]-bmhca was 71 ± 10%. in comparison to the in vitro observations, the absorption rate found in humans for ethanolic solutions of bmhca was comparable to what has been found in excised mini pig skin. given that the absorption of bmhca in mini pig skin was much higher when this compound was applied via real cream formulations, it is reasonable to conclude that bmhca might also better penetrate human skin when it is applied in cream formulations. since there is no further experimental data on this subject, the sccs concludes that the maximum fraction of bmhca being absorbed by human skin might be in the range of 25% rather than at 2.4%. in consideration of the comparability of pig skin with human skin, the dermal bioavailability of ethanolic (dissolved) bmhca to be used in the calculation of the systemic exposure dose (sed) and margin of safety (mos) will be set at 5% (worst case scenario based on 1% bmhca in etoh applied at 120 μg substance/cm2 onto 5 cm2 excised mini pig skin; result: total of 5.87 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). on the other hand, the penetration rate of bmhca applied onto the skin as ingredient of creamy formulations will be set at 25% (worst case scenario based on 36 μg substance/cm2 applied onto 5 cm2 excised mini pig skin; mean out of two experiments: total of 8.88 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). the sccs is aware of the issue that the exact identity of the cream formulations applied in the latter study remains obscure. the results obtained from the part of the study with 1% ethanolic bmhca can further be used to assess the sed for hydroalcoholic products to be applied on a defined surface area of shaved or unshaved skin once daily (1 x 305 cm2/day). here, an absorption of about 6 μg substance/cm2 can be assumed for unshaved skin (stratum corneum intact). for shaved skin (stratum corneum compromised), however, the total absorption would be 11 μg substance/cm2 (with the addition of the portion of 4.66 μg/cm2 that was found sticking in the stratum corneum in the respective experiment; cf. above). ",1994,yes,,"huntingdon research center 1994, rifm #23500","guideline: Human dermal penetration study according to an approved study protocol following SOPs (Huntingdon Research Center 1994, RIFM #23500)",
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,"Blood levels reached a plateau (7.0 to 19.1 ng/mL) immediately (i.e., within 2 hours following first bath) and did not accumulate throughout study.",,,,7.0 to 19.1 ng/ml,2h,,,,,,,,,human ,,,,,,,,3,10 g soap containing the test substance,,,0.75%,,,,solid,,,,test substance: Irgasan® DP300 ,,,,,,,,,dermal,soap is used for full body bathing for 75 days,,,75 days,,,,,,"In general, blood levels of triclosan increased immediately after percutaneous application [Ciba-Geigy, 1972a (119); Ciba-Geigy, 1972b (124)], were enhanced by the presence of an occlusive dressing [Thompson et al., 1975b (128)], and were proportional to the dose applied [Ciba-Geigy, 1973b (120)]. Percutaneous absorption of triclosan from the use of triclosan-containing soap, underarm product and talc was also shown to be detectable in subjects already using triclosan-containing toothpaste [BIBRA International, 1988 (137); Beiswanger and Tuohy, 1990 (138)].",1972,no,,119,Ciba-Geigy. Of three subjects 2 are test subjects and one control.,
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,the majority of CH 3565 was accounted for in the urine (65.4%±13.5% of the injected dose), faeces (20.6%±10.4%).,,,,,,,,,10h,,,,,,human,,,,,,m,,3,,,,,,,,,,,,test substance: 14C-irgasan ® CH3565,,,,,,,,,iv,single,,,,,,,,,"Excretion data obtained from an intravenous study were consistent with those obtained from the oral studies. Following injection of radiolabelled triclosan, the majority of the dose (approximately 65%) was excreted in the urine, while approximately 21% was excreted in the faeces [Maibach, 1969 (123)], suggesting biliary excretion into the gut.",1969,no,,123,Maibach,
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,"Following percutaneous application, an average of 8.9%±3.2% of the CH 3565 dose was absorbed percutaneously.",,,,,,,,,,,,,,,,,,,,human ,,,,,,m,,6,,test substance suspended in Ivory soap ,,,,,,,suspension,,,test substance: 14C-irgasan ® CH3565,,,,52,µg,,,,dermal,single,13cm2 forearm ,,24h,,,,,,"The in vivo percutaneous absorption of triclosan following single applications of triclosancontaining products (e.g., cream and soap) has been consistently reported as only a small proportion of the applied dose (i.e., generally ≤9%) [Stierlin, 1972b (121); Maibach, 1969 (123); Caudal et al., 1974 (125); Schenkel and Furia, 1965 (126); Thompson et al., 1975a (127)].",1969,no,,123,Maibach,
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,"The amount of DP-300 in blood increased immediately after washing, reaching a plateau at the 15 ng/mL level in the blood after the fourth day of hand washing (8 washes). 24 h after discontinuation of the hand washing, 2 subjects had no detectable amounts of Irgasan® DP 300 in the blood and by 48 h after discontinuation the third had no detectable amounts of Irgasan® DP 300 (1 subject dropped out of the study due to illness).",,,,,,,,,,,,,"Therefore, small amounts of Irgasan® DP 300 are absorbed through the skin and blood levels rapidly drop upon discontinuation of application.",human ,,,,,,f & m,,4,10 g of surgical scrub ,,,0.75%,,,,,,,,test substance: Irgasan ® DP 300,,,,,,,,,dermal,"repeated, 2 washings/day for 3 minutes each for a total of 2 weeks",surface area of both hands of each subject,,,,,2 weeks,,,"In general, blood levels of triclosan increased immediately after percutaneous application [Ciba-Geigy, 1972a (119); Ciba-Geigy, 1972b (124)], were enhanced by the presence of an occlusive dressing [Thompson et al., 1975b (128)], and were proportional to the dose applied [Ciba-Geigy, 1973b (120)]. Percutaneous absorption of triclosan from the use of triclosan-containing soap, underarm product and talc was also shown to be detectable in subjects already using triclosan-containing toothpaste [BIBRA International, 1988 (137); Beiswanger and Tuohy, 1990 (138)].",1972,no,,124,"Ciba-Geigy. From the 4 subjects, there were 3 males and 1 female",
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,Urinary excretion of free triclosan ranged from 0.006 to 0.041% of the administered dose during the 48-h urine collection period. Urinary excretion of free plus glucuronide conjugated triclosan ranged from 2.52 to 6.47% of the administered dose during the 48-h urine collection period,,,,,,,,,,,,,,,,Results indicate that triclosan is slightly absorbed percutaneously.,human,,,,,,m,,6,5g of CGP.433 cream ,,150mg/900cm2,,,,,,,,,test substance: triclosan,,,,,,,,,dermal,single,900cm2 on the back,,,,,,,,"The in vivo percutaneous absorption of triclosan following single applications of triclosancontaining products (e.g., cream and soap) has been consistently reported as only a small proportion of the applied dose (i.e., generally ≤9%) [Stierlin, 1972b (121); Maibach, 1969 (123); Caudal et al., 1974 (125); Schenkel and Furia, 1965 (126); Thompson et al., 1975a (127)]. Additional studies were conducted to determine blood and urine levels of triclosan (as a measure of absorption) following single and multiple percutaneous applications of triclosan in different vehicles including soaps, creams, other skin cleansers and surgical scrubs. Together, these data support findings indicating that percutaneous triclosan absorption is minimal [Caudal et al., 1974 (125); Thompson et al., 1975a (127); Hong et al., 1976 (24)]. In general, blood levels of triclosan increased immediately after percutaneous application [Ciba-Geigy, 1972a (119); Ciba-Geigy, 1972b (124)], were enhanced by the presence of an occlusive dressing [Thompson et al., 1975b (128)], and were proportional to the dose applied [Ciba-Geigy, 1973b (120)]. Percutaneous absorption of triclosan from the use of BK85triclosan-containing soap, underarm product and talc was also shown to be detectable in subjects already using triclosan-containing toothpaste [BIBRA International, 1988 (137); Beiswanger and Tuohy, 1990 (138)]. The predominant route of excretion following percutaneous application of triclosan is the urine (2 to 14% of the applied dose) [Stierlin, 1972b (121); Caudal et al., 1974 (125); Thompson et al., 1975b (128)], with much smaller amounts appearing in the faeces (0.5 to 2% of the applied dose) [Stierlin, 1972b (121)]. Excretion data revealed that, following single and multiple applications (2 to 3 times/day for 45 days), all the triclosan appearing inthe urine was present as the glucuronide conjugate [Wagner and Leshar, 1977 (139); Caudal et al., 1974 (125)], whereas the majority of the faecal triclosan was present as the free unchanged compound [Wagner and Leshar, 1977 (139)]. ",1974,no,,125,Caudal et al.,
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,,,,98%,,,,,,,,,"Analysis of the remaining contents of the boats and the washings from the skin revealed 100% recovery of 2% CH3565 from all 3 soap formulations for the first set of subjects. For the second set of subjects, recovery was 96% for the Ivory and Colgate soap bases.","The computed average recovery of each formulation was 98%, suggesting that an average of 2% of the CH3565 was absorbed.",human,,,,,,,,3,"3 different soap formulations (Ivory, Dial base and Colgate base soap) each with and without 2% solution opf CH3565 contained in glass boats ( 2 sets of subjects)",,,2%,,,,,,,,,,,,,,,,,dermal,single,15 cm2 glass boat taped to the forearm,,6h,,,,,,"The in vivo percutaneous absorption of triclosan following single applications of triclosancontaining products (e.g., cream and soap) has been consistently reported as only a small proportion of the applied dose (i.e., generally ≤9%) [Stierlin, 1972b (121); Maibach, 1969 (123); Caudal et al., 1974 (125); Schenkel and Furia, 1965 (126); Thompson et al., 1975a (127)].",1965,no,,126,Schenkel and Furia. One forearm with CH3565 and one without,
