Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.3% were positive to toluene-2,5-diamine sulfate, 30.2% were positive to p-phenylenediamine, 8.4% to o- nitro-p-phenylenediamine, 4.7% to resorcinol, 4.3% to p-aminodiphenylamine, 2.8% to p- aminophenol",,,,,,,,,,human/dermatitis patients (hairdressers),,,f & m,,106 (102 & 4),,,,,,,,,,,,the patch test standard series and the hairdressers’ series,,,,1985-1994,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,65,tested in Greece,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amongst 809 patients 7.6% were positive to toluene-2,5-diamine sulfate, 14.8% to p-phenylenediamine, 4.1% to o-nitro-p-phenylenediamine, 0.6% to resorcinol and 3.6% to p-aminodiphenylamine hydrochloride. /amongst 104 patients  8.7% were positive to toluene-2,5- diamine sulfate, 19.2% to p-phenylenediamine, 7.7% to o-nitro-p-phenylenediamine, 1.9% to resorcinol and 3.9% to p-aminodiphenylamine hydrochloride",,,,,,,,,,human/dermatitis patients (hairdressers),,,,,809 / 104,,,,,,,,,,,,patch tested with hairdresser allergens,,,,1988-1991,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,67,a multi-centre study by the European Environmental and Contact Dermatitis Research group (EECDRG),,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.2% were positive to toluene-2,5-diamine sulfate, 16.6% to p-phenylenediamine base, 7.6% to p-phenylenediamine dihydrochloride, 7.9% to o-nitro-p-phenylenediamine, 1.3% to resorcinol and 10.6% to p-aminodiphenylamine",,,,,,,,,,human/dermatitis patients (hairdressers),,,f & m,,302 ( 259 & 43),,,,,,,,,,,,patch tested with hairdresser allergens,,,,1985-1990,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,68, a multi-centre study by the Italian Contact Dermatitis Research Group (GIRDCA),,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.0% were test positive to toluene-2,5-diamine, 8.4% to toluene-2,5-diamine sulfate, 18.0% to p-phenylenediamine base, 0.6% to resorcinol, 1.1% to 3-aminophenol, 2.2% to p- aminodiphenylamine hydrochloride, 3.4% to 4-aminophenol and 6.2% to o-nitro-p- phenylendiamine.",,,,,,,,,,human/dermatitis patients (hairdressers),,,,,178,,,,,,,,,,,,patch tested with hairdressers’ allergens,,,,1988-1989,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,69, a multi-centre study by the German Contact Dermatitis Group (DKG),,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2% were positive to toluene-2,5-diamine sulfate, 6% to p-phenylenediamine and 4% to 2-nitro-4-phenylenediamine.",,,,,,,,,,human/hairdresser(no dermatitis),,,f & m,,103(96 & 8),,,,,,,,,,,,patch tested with a special series including standard allergens and hairdressers’ allergens,,,,1989-1992,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,66,in Netherlands,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7% (*) of the hairdressers affected by hand eczema were test positive to toluene-2,5-diamine sulfate, compared to 0% of the hairdresser trainees.",,,,,,,,,,"human/hairdresser with hand eczema, trainee with or withour hand eczema",,,,,"75, 74(*)",,,,,,,,,,,,patch tested with a hairdressers’ series and some additional substances from the standard series,,,,1994,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,71,in Norway,"(*): traced back to the given reference number of affected hardresser trainees (52 instead of 74) and general population of hairdresser (69 instead of  75) is mentioned concluding a 3% allergy to toluene-2,5-diamine amongst general population instead of 2.7 mentioned in SCCS. ",,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"among the hairdressers, 24.8% were test positive to toluene-2,5-diamine, 22.0% to p- phenylenediamine, 6.1% to p-aminophenol and 3.6% to m-aminophenol. among the non-hairdressers, 13.2% were test positive to toluene-2,5-diamine, 14.7% to p- phenylenediamine, 6.5% to p-aminophenol and 4.2% to m-aminophenol",,,,,,,,,,human/dermatitis patient ( hairdresser and client),,24 and 46 years old(average),f & m,,2328(2142 & 186),,,,,,,,,,,,,,,,1995-2002,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,72,884 of the cases were currently or had been working as hairdressers. 1217 had not been hairdressers (in the publication called clients). ,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.8% were positive to toluene- 2,5-diamine sulfate, 36.8% to p-phenylenediamine base, 3.8% to p-aminodiphenylamine, 4.7% to o-nitro-p-phenylenediamine and 0.9% to resorcinol",,,,,,,,,,human/dermatitis patient ( hairdresser),,,f & m,,209 (182 & 27),,,,,,,,,,,,patch tested with a standard series and a hairdressers’ series,,,,2002,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,73,tested in Italy,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in the first study, 2.3% were test positive to toluene-2,5-diamine (female 1.9%, male 2.9%), and 5.2% to Ursol (=p- phenylenediamine) (female 4.2%, male 6.6%). in the second, 3.4% were test positive to toluene-2,5-diamine (female 2.1, male 5.0%) and 7.0% to p-phenylenediamine (female 7.1%, male 6.8%).",,,,,,,,,,human/dermatitis patient,,,,,1000 / 1000,,,,,,,,,,,,patch tested with a standard series,,,,1970-1971/1976-1979,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,74,tested in Germany,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7% were test positive to toluene-2,5-diamine (females 1.9%, males 3.8%) and 4.1% were test positive to p-phenylenediamine (females 4.2%, males 3.9%)",,,,,,,,,,human/dermatitis patient,,,,,5348,,,,,,,,,,,,patch tested with a standard series,,,,1976-1980,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,75,"patch tested in Hamburg, Germany. ",,,,,,,,,,,,,,
