Dossier,guideline,type of study,PDF link,OECD_451_453_observations,OECD_451_453_non-neoplastic findings (organ),OECD_451_453_neoplastiv findings (organ),OECD_451_453_moribound or dead animals prior to study termination,OECD_451_453_conclusion,OECD_451_453_homogeneity,OECD_451_453_pH,OECD_451_453_concentration (%),OECD_451_453_composition,OECD_451_453_purity (%),OECD_451_453_solubility in vehicle,OECD_451_453_chemical batch nr,OECD_451_453_additional info,OECD_451_453_species/strain,OECD_451_453_source,OECD_451_453_age at start of experiment,OECD_451_453_sex,OECD_451_453_feed,OECD_451_453_n animals / group,OECD_451_453_dose levels,OECD_451_453_administration scheme,OECD_451_453_oral,OECD_451_453_% of body surface,OECD_451_453_area of body,OECD_451_453_inhalation,OECD_451_453_vehicle,OECD_451_453_observation period,OECD_451_453_control and recovery group ( satelite group),OECD_451_453_Study duration,OECD_451_453_SCCS comment to test,OECD_451_453_year,OECD_451_453_GLP,OECD_451_453_Ref. in dossier,OECD_451_453_additional info,OECD_451_453_own comment,Non-OCED_observations,Non-OECD_non-neoplastic findings (organ),Non-OCED_neoplastic findings (organ),Non-OCED_ or dead animals prior to study termination,Non-OCED_conclusion,Non-OCED_homogeneity,Non-OCED_pH,Non-OCED_concentration (%),Non-OCED_composition,Non-OCED_purity (%),Non-OCED_solubility in vehicle,Non-OCED_chemical batch nr,Non-OCED_additional info,Non-OCED_species/strain,Non-OCED_source,Non-OCED_age at start of experiment,Non-OCED_sex,Non-OCED_feed,Non-OCED_n animals / group,Non-OCED_dose levels,Non-OCED_administration scheme,Non-OCED_oral,Non-OCED_% of body surface,Non-OCED_area of body,Non-OCED_inhalation,Non-OCED_vehicle,Non-OCED_observation period,Non-OCED_Study duration,Non-OCED_SCCS comment to test,Non-OCED_year,Non-OCED_GLP,Non-OCED_preliminary study,Non-OCED_control group,Non-OCED_Ref. in dossier,Non-OCED_additional info,Non-OCED_own comment,complimentary comments
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no significant difference in tumour incidence and no toxicity were observed,,,,,,,0.5% NTA disodium salt,,,,,Na2 NTA.H2O,rat / MRC,,8-10 weeks ,m & f,,30,400 mg/kg bw/day,"oral, 20 ml drinking water containing 0.5% NTA disodium salt, on 5 days a week, during 84 weeks, surviviing animals were killed 104 weeks after the beginning of treatment.","oral, 20 ml drinking water containing 0.5% NTA disodium salt, on 5 days a week, during 84 weeks, surviviing animals were killed 104 weeks after the beginning of treatment.",,,,drinking water,,,no significant difference in tumour incidence and no toxicity were observed in the study  rats receiving 400 mg/kg bw/day of Na2NTA.H2O on 5 days a week for 84 weeks. One possible explanation for the difference with Réf.43 could be the higher pH of NTA than of Na2NTA.H2Othe small numbers of animals should be noted/A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment,,,,,44,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"an increased incidence of papillary or nodular [transitional-cell] hyperplasia of the urinary bladder was observed with all three doses of NTA.H2O: NHBBA alone, 3/20 (15%); low-dose, 13/21 (62%); mid-dose, 18/18 (100%); high-dose, 17/17 (100%) [p < 0.001, Cochran-Armitage test]. an increase was also detected in the incidence of [transitional-cell] papillomas of the urinary bladder: NHBBA alone, 0/20 (0%); low-dose, 1/21 (5%); mid-dose, 8/18 (44%); high-dose, 12/17 (71%) [p < 0.001, Cochran-Armitage test]. there was also an increased incidence of transitional-cell carcinomas of the urinary bladder: NHBBA alone, 0/20 (0%); low-dose, 1/21 (5%); mid-dose, 2/18 (11); high-dose, 7/17 (41%) [p < 0.001, Cochran-Armitage test]. in three additional groups that received 0.3%, 0.5% or 1.0% NTA.H2O without NHBBA, simple [transitional-cell] hyperplasia of the urinary bladder was observed frequently",,,,,,,"0, 0.3%, 0.5% or 1.0% NTA.H2O",,˃95,,,,rat / wistar,,7 weeks,m,,21,,"oral, 0.05% N-nitroso(4-hydroxybutyl)butylamine (NHBBA) in drinking water for 4 weeks, after which they were fed 0,0.3%,0.5% or 1.0% NTA.H2O in the diet for 28 weeks, when all survivors were killed.","oral, 0.05% N-nitroso(4-hydroxybutyl)butylamine (NHBBA) in drinking water for 4 weeks, after which they were fed 0,0.3%,0.5% or 1.0% NTA.H2O in the diet for 28 weeks, when all survivors were killed.",,,,,,,"In two-stage studies of carcinogenicity in male rats treated by oral administration, nitrilotriacetic acid and its trisodium salt increased the incidence of urinary-tract tumours after pretreatment with various N-nitrosamines. IARC has concluded that there is sufficient evidence in experimental animals for carcinogenicity of nitrilotriacetic acid and its salts. A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment",,,,,45,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in animals treated with 0.05% NHBBA plus NTA.H2O, an increased incidence of papillary or nodular [transitional-cell] hyperplasia of the urinary bladder was observed: NHBBA, 13/26 (50%); NHBBA plus NTA.H2O, 23/26 (88%) (p < 0.01). [Transitional-cell] papillomas of the urinary bladder were also observed in 8/26 (31%) rats given NHBBA alone and in 18/26 (69%) also given the NTA compound (p < 0.01). in animals treated with the NTA compound alone, no hyperplastic or neoplastic lesion was observed ",,,,,,,"0, 2% NTA.H2O",,95,,,,rat / fischer 344,,,m,,25-26,,"oral, 0, 0.01% or 0.05% N-nitroso(4-hydroxybutyl)butylamine (NHBBA) in drinking water for 4 weeks, and were then fed diets containing 0 or 2% NTA.H2O for 32 weeks, at which time survivors were killed.","oral, 0, 0.01% or 0.05% N-nitroso(4-hydroxybutyl)butylamine (NHBBA) in drinking water for 4 weeks, and were then fed diets containing 0 or 2% NTA.H2O for 32 weeks, at which time survivors were killed.",,,,,,,"the short duration of the experiment should be noted, In two-stage studies of carcinogenicity in male rats treated by oral administration, nitrilotriacetic acid and its trisodium salt increased the incidence of urinary-tract tumours after pretreatment with various N-nitrosamines. IARC has concluded that there is sufficient evidence in experimental animals for carcinogenicity of nitrilotriacetic acid and its salts. IARC (1999) concluded:
“The nephrocarcinogenic effects of nitrilotriacetic acid in rats and mice appear to be related to dose-dependent changes in Zn++ homeostasis. Orally administered nitrilotriacetic acid and its trisodium salt were nephrotoxic to rats and mice of each sex. The toxicity occurs at high doses and appears to be due to Zn++ accumulation secondary to the chelating properties of nitrilotriacetic acid. Administration of zinc nitrilotriacetic acid or Zn++ accentuated the nephrotoxicity of nitrilotriacetic acid.
Nitrilotriacetic acid has urothelial effects only in rats and at doses higher than those required for nephrotoxicity and proliferative effects. Although the mechanism of induction of the urothelial effects is not known, they are not related to Zn++ homeostasis but rather correlate with depletion of cellular calcium and possibly the formation of nitrilotriacetic acid-containing microcrystals.
The renal and urothelial effects of nitrilotriacetic acid are associated with cellular toxicity and regenerative hyperplasia. Its toxic, regenerative proliferative and tumorigenic effects occur only at high doses. No direct genotoxic effect appears to be involved” A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment",,,,,46,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a significant increase in the incidence of renal tubular-cell tumours was observed in animals treated with NEHEA plus the mid and high doses of the NTA.H2O over that in animals treated with NEHEA alone: NEHEA alone, 4/24 (17%); low-dose, 5/22 (23%); mid-dose, 23/23 (100%) (p < 0.01); and high-dose, 23/23 (100%) (p < 0.01). in animals treated with the NTA compound alone, no renal tubular-cell tumour was observed.",,,,,,,,,95,,,,rat / inbred wistar,,7 weeks,m,,24,,"oral, diet containing 0 or 1000 ppm (mg/kg) N-nitrosoethylhydroxyethylamine (NEHEA) (purity, 99.8%) for two weeks after which they were given 0, 3000, 10 000 or 30 000 ppm NTA.H2O (95.0% pure) in the diet for 30 weeks, at which time survivors were killed. ","oral, diet containing 0 or 1000 ppm (mg/kg) N-nitrosoethylhydroxyethylamine (NEHEA) (purity, 99.8%) for two weeks after which they were given 0, 3000, 10 000 or 30 000 ppm NTA.H2O (95.0% pure) in the diet for 30 weeks, at which time survivors were killed. ",,,,,,,"the short duration of the experiment should be noted,In two-stage studies of carcinogenicity in male rats treated by oral administration, nitrilotriacetic acid and its trisodium salt increased the incidence of urinary-tract tumours after pretreatment with various N-nitrosamines. IARC has concluded that there is sufficient evidence in experimental animals for carcinogenicity of nitrilotriacetic acid and its salts.IARC (1999) concluded:
“The nephrocarcinogenic effects of nitrilotriacetic acid in rats and mice appear to be related to dose-dependent changes in Zn++ homeostasis. Orally administered nitrilotriacetic acid and its trisodium salt were nephrotoxic to rats and mice of each sex. The toxicity occurs at high doses and appears to be due to Zn++ accumulation secondary to the chelating properties of nitrilotriacetic acid. Administration of zinc nitrilotriacetic acid or Zn++ accentuated the nephrotoxicity of nitrilotriacetic acid.
Nitrilotriacetic acid has urothelial effects only in rats and at doses higher than those required for nephrotoxicity and proliferative effects. Although the mechanism of induction of the urothelial effects is not known, they are not related to Zn++ homeostasis but rather correlate with depletion of cellular calcium and possibly the formation of nitrilotriacetic acid-containing microcrystals.
The renal and urothelial effects of nitrilotriacetic acid are associated with cellular toxicity and regenerative hyperplasia. Its toxic, regenerative proliferative and tumorigenic effects occur only at high doses. No direct genotoxic effect appears to be involved” A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment",,,,,47,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the tumour incidences in the groups treated with NDHPA, with NDHPA plus H3NTA and with NDHPA plus NTA.H2O were: urinary-bladder tumours (mainly papillomas) — 1/20 (5%), 1/20 (5%) and 7/20 (35%) [p = 0.004, Cochran-Armitage test]; renal cell tumours — 3/20 (15%), 15/20 (75%) and 10/20 (50%) [p = 0.014, Cochran-Armitage test]; and nephroblastomas — 3/20 (15%), 4/20 (20%) and 11/20 (55%) [p = 0.003, CochranArmitage test]",,,,,,,1% H3NTA or NTA.H2O,,H3NTA (99%) or NTA.H2O (95%) ,,,,rat / wistar (130-150 g),,,m,,15-20,,"oral, drinking water containing 0.2% N-nitrosobis(2-hydroxypropyl)amine (NDHPA; purity, 98%) for two weeks and were then fed 1% H3NTA (purity, 99%) or NTA.H2O (purity, 95%) in the diet for 30 weeks.","oral, drinking water containing 0.2% N-nitrosobis(2-hydroxypropyl)amine (NDHPA; purity, 98%) for two weeks and were then fed 1% H3NTA (purity, 99%) or NTA.H2O (purity, 95%) in the diet for 30 weeks.",,,,,,,"the short duration of the experiment should be noted,In two-stage studies of carcinogenicity in male rats treated by oral administration, nitrilotriacetic acid and its trisodium salt increased the incidence of urinary-tract tumours after pretreatment with various N-nitrosamines. IARC has concluded that there is sufficient evidence in experimental animals for carcinogenicity of nitrilotriacetic acid and its salts. IARC (1999) concluded:
“The nephrocarcinogenic effects of nitrilotriacetic acid in rats and mice appear to be related to dose-dependent changes in Zn++ homeostasis. Orally administered nitrilotriacetic acid and its trisodium salt were nephrotoxic to rats and mice of each sex. The toxicity occurs at high doses and appears to be due to Zn++ accumulation secondary to the chelating properties of nitrilotriacetic acid. Administration of zinc nitrilotriacetic acid or Zn++ accentuated the nephrotoxicity of nitrilotriacetic acid.
Nitrilotriacetic acid has urothelial effects only in rats and at doses higher than those required for nephrotoxicity and proliferative effects. Although the mechanism of induction of the urothelial effects is not known, they are not related to Zn++ homeostasis but rather correlate with depletion of cellular calcium and possibly the formation of nitrilotriacetic acid-containing microcrystals.
The renal and urothelial effects of nitrilotriacetic acid are associated with cellular toxicity and regenerative hyperplasia. Its toxic, regenerative proliferative and tumorigenic effects occur only at high doses. No direct genotoxic effect appears to be involved” A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment",,,,,48,,,
"toluene-2,5-diamine and its sulfate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"statistically significant increase in lung tumours (alveolar/bronchiolar adenomas or carcinomas) was observed in high dose female mice (high dose 8/45 (17%) vs. 1/45 (2%) in high dose control, P=0.016). the incidence was not significantly increased in low dose female mice (low dose 6/42 (14%) vs. 4/46 (9%) in low dose control). results from high dose were not considered as convincing evidence of a treatment-related effect because the control for the high dose female mice were very low compared to the control for the low dose female mice (1/45 (2%) vs 4/46 (9%)), moreover no similar effects were observed in the male mice. the incidence of pituitary adenomas or carcinomas was significantly lower in high dose female mice (high dose 0/38 (0%) vs. 6/37 (16%) in high dose control,P=0.012). the incidence in low dose female mice was also lower, although not statistically significant (low dose 1/38 vs. 3/42 in low dose control). ",,,yes,mean body weight was consistently depressed in high dose female mice compared to the corresponding control. there was no treatment-related effect on survival in either males or females.,,,,"25 ppm iron, 0.6% volatiles, max. 0.1% moisture",99,,,"toluene-2,5-diamine sulfate (CAS n° 6369-59-1)",mouse/B6C3F1,,,f & m,,100,"0.06, 0.1, 0.2%","oral, diet","oral, diet",,,,wayne lab-blox® meal,"78 weeks, followed by an additional 16 – 19 weeks without treatment",,"the conclusion drawn in the NCI report for this study was: “under the conditions of this bioassay, sufficient evidence was not provided to conclusively demonstrate the carcinogenicity of 2,5-toluenediamine sulphate in either Fischer 344 rats or B6C3F1 mice”.",,yes ( in compliance),,,51,,,
"toluene-2,5-diamine and its sulfate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a statistically significant increase in the incidence of interstitial cell tumours of the testis was observed in male rats (low dose 43/48 (90%) vs. 33/45 (73%) in low dose control, P=0.039; high dose 47/48 (98%) vs. 19/24 (79%) in high dose control, P=0.014), but this was not considered treatment-related since the spontaneous incidence of these tumours in male rats is very high and variable. the incidence of pituitary adenomas in low dose male rats showed a statistically significant decrease relative to the corresponding control (low dose 3/45 (7%) vs. 12/41 (29%) in low dose control, P=0.006). a similar trend (not statistically significant) was seen in high dose male rats (high dose 3/40 (8%) vs. 3/21 (14%) in high dose control). the incidence of lung tumours (alveolar/bronchiolar adenomas or carcinomas) was significantly lower in high dose male rats (high dose 0/49 (0%) vs. 3/25 (12%) in high dose control, P=0.035), but this difference was not seen in low dose malerats (low dose 1/48 vs. 0/46 in low dose control). no significant increases in neoplasms were observed in female rats. The incidence of thyroid C-cell adenoma or carcinoma was significantly lower in high dose female rats (0/49 vs. 3/21 in high dose control), but the opposite trend (not statistically significant) was seen in low dose female rats (3/48 vs. 1/47 in low dose control). ",,,yes,mean body weight was consistently depressed in high dose female rats. this trend was not as evident in the other groups of dosed rats. there was no treatment-related effect on survival in either males or females.,,,,"25 ppm iron, 0.6% volatiles, max. 0.1% moisture",99,,,"toluene-2,5-diamine sulfate (CAS n° 6369-59-1)",rat/fischer 344,,,f & m,,100  except for high dose control groups which had 50,0.05-0.06 or 0.2%,"oral, diet","oral, diet",,,,wayne lab-blox® meal,"78 weeks, followed by an additional 28 to 31 weeks without treatment",,"the conclusion drawn in the NCI report for this study was: “under the conditions of this bioassay, sufficient evidence was not provided to conclusively demonstrate the carcinogenicity of 2,5-toluenediamine sulphate in either Fischer 344 rats or B6C3F1 mice”.",,yes ( in compliance),,,51,,,
"toluene-2,5-diamine and its sulfate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there were no statistical difference between the sexes in the total number of neoplasms or in the incidence of neoplasms of a particular organ and type. the incidence of skin neoplasms did not show statistically significant differences in any of the groups under test except for the positive control groups exposed to DMBA.,,,yes,body weight gains of mice in treated groups were not significantly different from those of mice in the untreated control groups. male and female mice in all groups developed both malignant and benign neoplasms. the incidence of skin neoplasms did not show statistically significant differences in any of the groups under test except for the positive control groups,,,," 3% toluene2,5-diamine, 1.5% p-phenylenediamine and either 0.2% or 0.6% toluene-2,4-diamine",,,,dye preparation was mixed with equal volume 6% hydrogen peroxide before application.,mice/swiss-webster ,,,f & m,,"56 per treatment group and positive control, 28 in vehicle control group and 76 males and 17 females in untreated control group","0.05 ml of a solution containing toluene-2,5-diamine and hydrogen peroxide",,,,topical 1 application weekly ,,,2 years,,"hair dye formulations of toluene-2,5-diamine together with hydrogen peroxide have been tested in three experimental studies after topical application to mice or rats. the sensitivity of these studies may have been low as no response to hair dye formulations containing known carcinogens (toluene-2,4-diamine [EU carcinogenic. category 1B] or 2,4- diaminoanisole [EU carcinogenic, category 1B] was observed. thus, no conclusions with regard to carcinogenicity can be drawn from these studies.",,no,,,91,,,
"toluene-2,5-diamine and its sulfate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there were no overt signs of systemic toxicity in any of the dye-treated groups. the survival varied from 58 to 80% except in the positive controls in which only 21% of the mice were alive after 18 months. average body weights were comparable in all groups throughout the study,,,yes,no evidence of carcinogenic activity was seen,,,,"3.0% toluene-2,5-diamine, 1.5% p-phenylenediamine with either 0.2% toluene-2,4-diamine, 0.38% 2,4-diaminoanisole or 0.17% m-phenylenediamine prior to mixing with equal volume of 6% hydrogen peroxide prior to use",,,,,mice/swiss-webster ,,,f & m,,100,"0.05 ml of a solution containing toluene-2,5-diamine and hydrogen peroxide",,,,topical application once weekly or once every two weeks for 18 months,,,18 months,,"hair dye formulations of toluene-2,5-diamine together with hydrogen peroxide have been tested in three experimental studies after topical application to mice or rats. the sensitivity of these studies may have been low as no response to hair dye formulations containing known carcinogens (toluene-2,4-diamine [EU carcinogenic. category 1B] or 2,4- diaminoanisole [EU carcinogenic, category 1B] was observed. thus, no conclusions with regard to carcinogenicity can be drawn from these studies.",,no,,,90,,,
"toluene-2,5-diamine and its sulfate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no statistically significant differences were observed in tumour incidence between the experimental and control groups.,,,,"formulation 1, containing 4% toluene-2,5-diamine (calculated as free base but used as sulfate): formulation 2, containing 3% toluene-2,5-diamine and 0.75% 2,4-diaminoanisole; and formulation 3, used as control without added dye intermediates",,,,each formulation was mixed with an equal volume of 6% hydrogen peroxide immediately before use,rat/sprague-dawley,,12 weeks old,f & m,,"100 for formulation 1,2 and control, 50 for formulation 3",0.5 g,,,,dorsal skin twice weekly for two years ,,carboxymethylcellulose gel ,2 years,,"hair dye formulations of toluene-2,5-diamine together with hydrogen peroxide have been tested in three experimental studies after topical application to mice or rats. the sensitivity of these studies may have been low as no response to hair dye formulations containing known carcinogens (toluene-2,4-diamine [EU carcinogenic. category 1B] or 2,4- diaminoanisole [EU carcinogenic, category 1B] was observed. thus, no conclusions with regard to carcinogenicity can be drawn from these studies.",,no,,,89,,,
sodium perborate and perboric acid,,in vitro,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no carcinogenicity studies have been found on perborates. hydrogen peroxide has been evaluated by IARC (1999). there is inadequate evidence in humans and limited evidence in experimental animals for the carcinogenicity of hydrogen peroxide. the studies on borates available in animals were inadequate and can not be used to conclude whether boron causes cancer (SCCS, 2010). "
hydroxypropyl p-phenylenediamine and its dihydrochloride salt,non-OECD,in vitro,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_230.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resorcinol,/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"after 15 months of exposure, interim evaluations were performed on 10 animals from each group. no chemical-related changes in clinical pathology parameters or incidence of neoplasms or non-neoplastic lesions were found during the 15-month interim evaluations.mean body weights of high-dose male rats were 10% to 15% lower than those of the controls from week 87 to study termination. mean body weights of high-dose female rats were 11% to 14% lower than those of controls from week 95 to study termination. mean body weights of other dosed rat groups were similar to those of controls. survival of high-dose male and female rats was significantly lower than controls. decreased survival in high-dose groups was attributed to chemical-related toxicity. mean body weights of high-dose female mice were 10% to 15% lower than those of controls from week 85 to study termination, whereas those of the remaining dosed mouse groups were similar to those of the controls. survival of dosed mice was similar to that of controls. clinical signs suggestive of a chemical-related effect on the central nervous system, including ataxia, recumbency, and tremors, were observed at 100 and 150 mg/kg bw in rats and 112 and 225 mg/kg bw in mice. mammary gland fibroadenomas occurred at significantly reduced incidences in all exposed groups of female rats (25/50, 14/50, 12/50, 9/50). incidence of subcutaneous fibroma or sarcoma in high-dose male mice was significantly lower than for the controls (8/50, 6/50,1/50). ",no treatment-related increased incidences,no treatment-related increased incidences,yes,"there was no evidence of carcinogenic activity of resorcinol in male F344/N rats given 112 or 225 mg/kg bw or female F344/N rats given 50, 100, or 150 mg/kg bw. no evidence of carcinogenic activity of resorcinol in male or female B6C3F1 mice given 112 or 225 mg/kg bw.",,,,,> 99,,,,rat/ F3344/N and mice/ B6C3F1 ,,,m (rats) f & m (mice),,60 rats and 60 mice,"0, 112, or 225 mg/kg bw in male rats and male mice,  female rat study 0, 50, 100, or 150 mg/kg bw. ","oral, gavage","oral, gavage",,,,deionized water,2 years,,"based on the acute clinical signs of toxicity, which were considered a resorcinol-related effect on the CNS, the EFSA Panel concluded that the NOAEL was 50 mg resorcinol/kg bw/d. this NOAEL corresponds to a daily dose of 36 mg/kg/d when adjusted from the 5-day dosing week to a 7-day dosing week. since the dosing was performed by gavage and the clinical signs lasted 30-60 minutes after dosing, these signs might be the result of the high (local) dose. in the case of dermal application, such effects are not relevant. therefore, 50 mg/kg bw/day will not be used as the NOAEL for the calculation of the MOS.",,no,,,"10, ESFA 2010","administration 5 days per week for up to 104 weeks.  groups of 60 female rats were initially administered the same doses as male rats, but by week 22 of the study 16 of the high-dose females had died. consequently, the female rat study was restarted using doses of 0, 50, 100, or 150 mg/kg bw. ",,
p-aminophenol,/,in vitro,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-aminophenol,OECD 451,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,"study was scheduled for at least 104 weeks, however, since the survival in the control groups was only 26% in males and 32% in females in week 101, it was decided to terminate the study and all surviving animals were killed. representative organs were weighed and the animal submitted to microscopic necropsy observations. no major difference from the controls was noted in the mean bodyweight of treated males and females or in the survival except for a lower survival of the high dosed females (20% compared to 32% at week 101). orange coloured urine was noted from week 10 in almost all the animals given 30 mg/kg bw/d. the number of animals with more than one primary neoplasm and the number of benign and malignant tumours were comparatively similar in all groups including the control group, except for a marginal increase in the number of malignant lymphoma in males given 30 mg/kg bw/d (3 cases of heterogeneous malignant lymphoma compared to 1 in the control group and 1 in the low dose group).",,,yes,the test substance showed neither a carcinogenic potential nor an effect on the incident of spontaneously occurring tumours at any dose level,,,,p-aminophenol suspended in 0.5 w/w aqueous carboxymethylcellulose,99% ± 0.5%,,2070155,,rat/sprague-dawley,,approximately 6 weeks old,f & m,,20,"0, 2, 5, 12 and 30 mg/kg bw/d",daily for at least 101 weeks,"oral, gavage",,,,aqueous carboxymethylcellulose,,,,an oral rat study with p-aminophenol has been performed according to OECD guideline No. 451. the mortality in the control group was very high. the study was negative. ,,yes,col. 93,the dose levels selected on the basis of results of a previous 13-week toxicity study where daily oral doses of 30 and 100 mg/kg bw/d produced minimal to marked tubular nephrosis. the dose level of 30 mg/kg bw/d was considered to be the MTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-aminophenol,/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,five animals/sex/group were killed at 12 months; the remainder of the animals were killed at 24 months. all were necropsied; their tissues were subjected to histological evaluation. ,,,,"no compound-related increases in neoplasms were observed. It is noted that 2,4- diaminoanisole (2 and 4%) was also negative in the experiments.",,,1.0,"p-aminophenol (1.0%) was present together with 2,5-diaminotoluene sulphate (6.0%)",,,,,rat/sprague-dawley,,,f & m,,,,,,,"topical application, twice weekly for 24 months",,6% hydrogen peroxide in equal volume to the tested formulation,24 months,,"one dermal study with p-aminophenol has been performed with rats and 2 dermal studies have been performed with mice. they were all negative. it should be noted that several hair dye formulations were tested in the dermal studies and some of the formulations contained substances classified as carcinogenic either by EU or the German MAK commission (2,4-diaminoanisole, EU carcinogen category 1B; Disperse Blue 1, EU carcinogen category 1B; p-phenylenediamine, MAK commission carcinogen category 3B; 4-amino-2-nitrophenol, MAK commission carcinogen category 3B). this indicates that the sensitivity of the dermal carcinogenicity studies has not been sufficient to identify possible carcinogenic effects of hair dye formulations. no conclusions regarding carcinogenicity can be drawn from these studies. ",,,,,col.72,"a two-generation reproduction study, which included a chronic toxicity-carcinogenicity study within which the formulation was applied twice weekly throughout the growth, mating, gestation and lactation phases of the F0 parents to the weaning of the F1a and F2b litters. weanlings selected from the F1a litters were the subjects for the lifetime carcinogenesis study. ",,
p-aminophenol,/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"comparison of incidence of tumours and of non-tumour pathology among the various treatment and control groups revealed no biologically significant differences. it is noted that 2,4-diaminoanisole (2% and 4%) was also negative in the experiments.",,,yes,the toxicological and carcinogenic effects were not induced by the hair dye formulations. ,,,,nine oxidative hair dye formulations and 3 semipermanent hair dye formulations ,,,,,mouse/swiss webster,,8 – 10 weeks old,f & m,,100 all groups together,"0.04, 0.2 and 1.0%",,,,"skin,  painted weekly for 21 or 23 months",,6% hydrogen peroxide in equal volume to the tested formulation,21 or 23 months,,"one dermal study with p-aminophenol has been performed with rats and 2 dermal studies have been performed with mice. they were all negative. it should be noted that several hair dye formulations were tested in the dermal studies and some of the formulations contained substances classified as carcinogenic either by EU or the German MAK commission (2,4-diaminoanisole, EU carcinogen category 1B; Disperse Blue 1, EU carcinogen category 1B; p-phenylenediamine, MAK commission carcinogen category 3B; 4-amino-2-nitrophenol, MAK commission carcinogen category 3B). this indicates that the sensitivity of the dermal carcinogenicity studies has not been sufficient to identify possible carcinogenic effects of hair dye formulations. no conclusions regarding carcinogenicity can be drawn from these studies. ",,,,,col. 7 and 8,the study consisted of 12 treatment groups and 3 negative control groups.  the 9 oxidative hair dye formulations were mixed with an equal volume of 6% hydrogen peroxide just before use and applied within 15 min after mixing. dose volume: 0.05 ml . p-aminophenol was present in 3 of the oxidative hair dye formulations,,
