dossier ,guideline ,PDF link ,method of analysis/ method of detection,observations,moribound animal,corrosivity,"grading of lesion,  irritation response scores ( IVIS, ICE class, irritation index)",cell viability,optical density,IL-1α concentration,systemic effects,"corneal swelling, opacity and fluorescein retention",opacity and permeability,membrane barrier penetration,skin impedance TER,dye binding assay data,results,conclusion,homogeneity and stability ,pH,physical form ,"treatment(grinding, wetting )",particle size,concentration (%),composition,purity (%),direct interaction with MTT,coloring of tissue,solubility in vehicle,chemical batch nr,additional info,0,species/strain,source,age at start of experiment,"age measuring unit (day, week, month, year)",sex,weight,"weight measuring unit (gram, kilogram)",feed,n animals / group,test system,"test system details ( source, stored prior to use, wetting, treatment, strain, pre-, age at sacrifice)",replicates /condition,cell design,receptor fluid,viability,barrier function,morphology,quality control,calibration,proficiency,TER measurement,"measuring system ( uplc/hplc-spectrophotometer,….)",age at sacrifice,in silico,dose level,unity ( or extra information),dose volume (mL),administration / application scheme,route of exposure,use of anaesthesic/analgesic,"patch system ( open, semi-occluded, occluded)",skin condition,exposed area (cm2),exposure time/ time point ,"exposure unity (seconde,,minute,hour, day) and extra information ",observation period (day),scoreing times/sampling franctions,application scheme,treatment period,treatment period time unity ,temperature during treatment period(°C),humidity,temperature during post-treatment(°C),post treatment incubation time,post treatment incubation medium,rinsing ,vehicle name ,vehicle concentration %,procedure,additional info,year,GLP,SCCS comment to test,Ref. in dossier,preliminary study ,Klimisch score,control groups,additional information,own comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
β-arbutin,non OECD,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_169.pdf,,"slight erythema in one rabbit after 24h and 72hours on both intact and damaged skin, no oedema",no,, score 1 erythema,,,,,,,,,,,10% aqueous solution of β-arbutin can be considered as little primary irritation potential,,,,,,10,β-arbutin dissolved as a 10% solution in water,99.7,,,,lot A,,in vivo,rabbit/japanese white,,,,m,,,,6,,,,,,,,,,,,,,,,,,0.3,single,dermal ,,,shaved intact and damaged ( by needle scratching) on dorsal skin,4.9,24,h,3,48 and 72 hours,,,,,,,,,no rinsing,distilled water,,,,1986,no,10% aqueous β-arbutin solution was slightly irritating to the skin,3,,,,"guideline: draize method (1959), no official guideline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
β-arbutin,non OECD,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_169.pdf,," parameters checked included cornea (opacity, area of cornea involved), iris (morbidity value) and conjunctiva (redness, chemosis, discharge). no reactions in the cornea, iris or conjunctiva",no,,,,,,,,,,,,,"under conditions of the study, β-arbutin was not irritating to the rabbit eye",,,,,,10,β-arbutin dissolved as a 10% (w/w) solutions in water,99.7,,,,lot A,,in vivo,rabbit/japanese white,,,,m,,,,3,,,,,,,,,,,,,,,,,,0.1,single into the right eye,ocular ,,,,,72,h,7,"1,4 and 24 hours after instillation - 2,3,6 and 7 days after instillation",,,,,,,,,no,distilled water,,,,1986,no,,,,,the untreated left eyes served as control,"guideline: internal protocol performing laboratory (japan), no official guideline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,study human skin pigmentation at sub-irritating levels,no,,,,,,,,,,,,,"the cream and lotion shampoos did not produce any skin irritation, nor did they change the skin pigmentation level in caucasian or black skin",,,,,,"0.2, 0.4, 2.0",product derived data in  a marketed shampoo base in a form of a cream and a lotion shmapoo,,,,,,test substance: ZPT,in vivo,human /caucasian and black,,,,m,,,,8,,,,,,,,,,,,,,,,,,,daily ,dermal,,non-occluded,,,64,d,,,,,,,,,,,,,,,,,no,"skin irritation studies performed with ZPT were not available for evaluation. however, from-product based data evaluated studies, from the description of skin irritation studies performed with ZPT and from human HRIPT tests it can be inferred that ZPT is – at least - a mild skin irritant. ",b37,,,,product-derived data. 8 caucasian and 8 black subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,a reaction by the patient was described. the patient had had a similar reaction after using a hair cream with a lower level seven years before.,,,,,,,,,,,,,,,,,,,,,shampoo containing 2% ZPT,,,,,,,in vivo,human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,"skin irritation studies performed with ZPT were not available for evaluation. however, from-product based data evaluated studies, from the description of skin irritation studies performed with ZPT and from human HRIPT tests it can be inferred that ZPT is – at least - a mild skin irritant. ",b4,,,,product-derived data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,, an eczema case of the scalp and face after using a shampoo containing 2% ZPT for a short period,,,,,,,,,,,,,,,,,,,,,shampoo containing 2% ZPT,,,,,,,in vivo,human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,"skin irritation studies performed with ZPT were not available for evaluation. however, from-product based data evaluated studies, from the description of skin irritation studies performed with ZPT and from human HRIPT tests it can be inferred that ZPT is – at least - a mild skin irritant. ",b23,,,,product-derived data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,"after 0.5- 1 hrs, slight erythema was observed in three animals and oedema was observed in two animals. after 24 hrs, the erythema had disappeared and oedema was reduced. after 48 hrs, the oedema also disappeared",no,,grade 1 erythema at 0.5-1h with oedema of grade 2. after 24h the oedema scored down to 1,,,,,,,,,,,zpt was considered mildly irritating (below classification level),,,,moistening ,,,,,,,,,test substance: zpt,in vivo,rabbit/ new zealand ,,,,m,,,,6,,,,,,,,,,,,,,,,0.5 ,g,,,dermal,,occluded,,,4,h,,"0.5, 1, 24, 48 and 72hours",,,,,,,,,,,,,,,no,"skin irritation studies performed with ZPT were not available for evaluation. however, from-product based data evaluated studies, from the description of skin irritation studies performed with ZPT and from human HRIPT tests it can be inferred that ZPT is – at least - a mild skin irritant. ",mak 2012,,,,ingredient-based data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,no,,,,,,,,,,,,,slightly irritant and induced marginal epidermal hyperplasia and increased hair growth ,,,liquid,,,20,suspension ,,,,,,,in vivo,"rabbit, guinea pig, mouse",,,,,,,,,,,,,,,,,,,,,,,,,,,five daily application,dermal,,open,,,,,,,,,,,,,,,,,,,,,no,"skin irritation studies performed with ZPT were not available for evaluation. however, from-product based data evaluated studies, from the description of skin irritation studies performed with ZPT and from human HRIPT tests it can be inferred that ZPT is – at least - a mild skin irritant. ",mak 2012,,,,ingredient-based data. 3 species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,no,,,,,,,,,,,,,no skin irritation ,,,,,,48,dispersion ,,,,,,,in vivo,guinea pig,,,,m,,,,10,,,,,,,,,,,,,,,,0.4 ,ml,,,dermal,,occlusive,,,6,h,,,,,,,,,,,,,,,,,no,"skin irritation studies performed with ZPT were not available for evaluation. however, from-product based data evaluated studies, from the description of skin irritation studies performed with ZPT and from human HRIPT tests it can be inferred that ZPT is – at least - a mild skin irritant. ",mak 2012,,,,ingredient-based data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,slight transient irritation with the peak effect occurring during the first 4 hours and disappearing completely in 2-4 days,no,,,,,,,,,,,,,,,,,,,0.25,a soap solution containing 0.25% ZPT,,,,,,,in vivo,rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocular,,,,,,,,,,,,,,,,,,,,,,,no,"in ref.B61 only product based information was evaluated.iIt was concluded that the irritation potential of shampoo in rabbit eyes was not increased by the incorporation of ZPT. pure ZPT has also been investigated in eye irritation tests, but the studies are not available for evaluation. HSE (2003) concludes that ZPT is a severe eye irritant, MAK (2012) states that ZPT is corrosive to the eye. SCCS notes, that classification as Eye Damage 1; H318 (causes serious eye damage) according to CLP is suggested by the registrant(s) under REACH ",b61,,,,product-derived data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,"undiluted solutions produced extensive damage to the eyes of rabbits which were characterised by opalescence of the entire cornea, severe iritis and marked conjunctivitis. in all cases, rinsing was particularly effective in alleviating the condition with very slight to moderate conjunctivitis being observed. in all rinsed cases, damage had cleared by the third day whereas in unrinsed eyes the condition had not cleared by day 42. dilution of these test solutions to 10% also reduced the ocular irritation and in all cases the condition was cleared by day 7. again, rinsing was effective in alleviating the condition. no significant differences were observed between the control and the test animals in this study. repetition of the above study in monkeys with no rinsing produced superficial damage to the corneal epithelium and/or slight conjunctival irritation when the 2% ZPT shampoo was instilled undiluted. instillation of the shampoo formulation diluted to 10% (0.2% ZPT) resulted in no ocular irritation.",no,,,,,,,,,,,,, the irritation potential of shampoo in rabbit eyes was not increased by the incorporation of ZPT,,,,,,0.2,"undiluted and diluted shampoo with 2% ZPT, a 10% dilution to get 0.2% ZPT formulations",,,,,,,in vivo,"rabbit, monkey ",,,,,,,,,,,,,,,,,,,,,,,,,,,,ocular,,,,,,,,,,,,,,,,,"some yes, some no ",,,,,,no,"in ref.b61 only product based information was evaluated.iIt was concluded that the irritation potential of shampoo in rabbit eyes was not increased by the incorporation of ZPT. pure ZPT has also been investigated in eye irritation tests, but the studies are not available for evaluation. HSE (2003) concludes that ZPT is a severe eye irritant, MAK (2012) states that ZPT is corrosive to the eye. SCCS notes, that classification as Eye Damage 1; H318 (causes serious eye damage) according to CLP is suggested by the registrant(s) under REACH ",b61,,,,product-derived data. 2 species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,no,,"the mean scores (24, 48 and 72h) were 3 for corneal opacity and conjunctival redness, 4 for conjunctival chemosis and 1.2 for iridial effects (only 4 animals being scored due to excessive discharge making iris scoring difficult in 2 animals)",,,,,,,,,,,substance is considered as a severe eye irritant ,,,solid,,,,,95.6,,,,,powdered zinc pyritjione ,in vivo,rabbit/ new zealand white,,,,,,,,6,,,,,,,,,,,,,,,,0.1,ml,,,ocular ,,,,,,,3,"1,24,48 and 72h",,,,,,,,,,,,,,,no,"in ref.b61 only product based information was evaluated.iIt was concluded that the irritation potential of shampoo in rabbit eyes was not increased by the incorporation of zpt. pure zpt has also been investigated in eye irritation tests, but the studies are not available for evaluation. hse (2003) concludes that zpt is a severe eye irritant, mak (2012) states that zpt is corrosive to the eye. sccs notes, that classification as Eye Damage 1; H318 (causes serious eye damage) according to CLP is suggested by the registrant(s) under REACH ",mak 2012,,,the other eye serving as a control ,ingredient-based data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc pyrithione,non OECD ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,no,,"the mean scores (24, 48 and 72h) were 2.5 for corneal opacity and conjunctival redness, 3 for conjunctival chemosis and 1 for iridial effects.",,,,,,,,,,,,,,liquid,,,48,aqueous dispersion ,,,,,,,in vivo,rabbit/ new zealand white,,,,,,,,6,,,,,,,,,,,,,,,,0.1,ml,,,ocular ,,,,,24,h,,"24,48 and 72h",,,,,,,,,yes,,,,,,no,"in ref.b61 only product based information was evaluated.iIt was concluded that the irritation potential of shampoo in rabbit eyes was not increased by the incorporation of ZPT. pure ZPT has also been investigated in eye irritation tests, but the studies are not available for evaluation. HSE (2003) concludes that ZPT is a severe eye irritant, mak (2012) states that ZPT is corrosive to the eye. sccs notes, that classification as Eye Damage 1; H318 (causes serious eye damage) according to CLP is suggested by the registrant(s) under REACH ",hse 2003,,,the other eye serving as a control ,ingredient-based data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetat,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,no skin changes were noted,,,solid,"unmoistened NTA.H2O, finely ground dry powder",,,,,,,,,,in vivo,rabbit,,,,,,,,3,,,,,,,,,,,,,,,,,,,single,dermal,,"occlusive patch, the application sites were covered with plastic strips to avoid contamination ","intact clipped skin,",,24,h,7,,,,,,,,,,,,,,,,no,in a 28 day rabbit repeated dose study with dermal administration mild skin irritation was observed with 10% NTA. the noael for local effects on the intact or abraded skin was 2.5%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetat,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,"nothing in the first hour,slight to well-defined erythema overnight with one instance of slight oedema, redness nearly disappeared within 3 days, no lical signs obsereved  after 5 days",no,,"mixed erythema/oedema irritation scores at 24, 48 and 72h are 2.3,1.3 and 1 respectively.",,,,,,,,,,,mild reversible skin irritation within 5 days,,,liquid,,,25,aqueous solution of NTA.H2O,,,,,,,in vivo,rabbit/albino,,,,,,,,3,,,,,,,,,,,,,,,,,,,single,dermal,,"occlusive patch,  the applications were covered with plastic strips to retard evaporation and avoid contamination",intact clipped skin,,24,h,5,,,,,,,,,,,,,,,,no,in a 28 day rabbit repeated dose study with dermal administration mild skin irritation was observed with 10% NTA. the noael for local effects on the intact or abraded skin was 2.5%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetat,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,no,,,,,,,,,,,,,the concentration did not cause any sign of skin irritation,,,,,,50,substance formulation in distilled water ,,,,,,,in vivo,guinea pigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,dermal,,,,,,,,,,,,,,,,,,distilled water,,,,,no,in a 28 day rabbit repeated dose study with dermal administration mild skin irritation was observed with 10% NTA. the noael for local effects on the intact or abraded skin was 2.5%,4,,,,a buehler study formulation used for topical induction and challenge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetat,OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,mild eye irritation was noted. conjunctival reddening was abated after 8 days. there were no findings for cornea and iris,no,redness and chemosis of the conjunctiva,after 24h values for redness 2 and chemosis 0.7 . after 48h conjuctival reddening was 1 and no chemosis. ,,,,,,,,,,,mild eye irritation ,,,liquid,,,38,solution of NTA,,,,,,,in vivo,rabbit/albino,,,,,,,,3,,,,,,,,,,,,,,,,0.1,ml,,,ocular,,,,,,,8,,,,,,,,,,,,,,,,no,"human data on local irritancy are not available. on the basis of the animal data currently available proper assessment of skin and eye irritant/corrosive properties of the substance is not possible. the EU risk assessment report (ref. 1) concluded that “based on the limited data available and taking also into account the strongly basic pH-value of a 1% aqueous solution, the current classification of R36 - Irritating to eyes - is confirmed.” SCCS concur with the conclusion of the EU risk assessment report. ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetat,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,"considerable discomfort was shown immediately upon application. copious discharge, oedema with partial eversion of the lids, moderate redness and sufficient congestion to mildly obscure iris details was recorded after 1 hour. oedema disappeared within 5 days leaving mild redness and slight corneal dullness (no information on scores) which were observed also after 7 days when the study was terminated.",no,,,,,,,,,,,,,moderate eye irritation ,,,solid,finely ground,,,,,,,,,,in vivo,rabbit/albino,,,,,,,,3,,,,,,,,,,,,,,,,100,mg,,,ocular ,,,,,24,h,7,,,,,,,,,,the test substance washed off with warm isotonic saline solution after 24h when discharge and oedema had already reduced,,,,,,no,"human data on local irritancy are not available. on the basis of the animal data currently available proper assessment of skin and eye irritant/corrosive properties of the substance is not possible. the EU risk assessment report (ref. 1) concluded that “based on the limited data available and taking also into account the strongly basic pH-value of a 1% aqueous solution, the current classification of R36 - Irritating to eyes - is confirmed.” SCCS concur with the conclusion of the EU risk assessment report. ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,OECD 404,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,"no clinical signs of systemic toxicity were observed, and no mortality occurred, very slight erythema in one animal at 1-hour and 24-hours after treatment, which reversed by 48 hours.",no,,grade 1 erythema,,,,no,,,,,,,not irritating to the skin of rabbits,,,yellow viscous liquid,,,,neat substance,,,,,9000317035,"test substance: vetiveryl acetate, ester content: 65.9%",in vivo,rabbit / new zealand white,,,,f & m,,,,3,,,,,,,,,,,,,,,,,,0.5,single,dermal,,semi-occlusive,left clipped  flank,6,4,h,7,"1,24, 48, 72h",,,,,,,,,,,,,,1999,yes,under the conditions of this study. the test substance is mildly irritating to rabbit skin. the composition of the test substance is unknown to the sccs.,71,,,,"1 male, 2 females",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,"skin reactions were scored for erythema, oedema, cracking and scaling and any other feature using an 8-point anchored ordinate scale ranging from “a” (very slight) to “h” (severe). at the end of the test the reaction grades were converted to numerical scores which were used to calculate the total irritation score per site, and a mean irritation score per site per day for each treatment group. vetyvenyl acetate (PPL sample) showed mainly moderate effects 24 hours after treatment. by 72 hours the test substance showed mainly slight/moderate effects.",no,,,,,,,,,,,,,neat vetyvenyl acetate was slightly to moderately irritating to the skin of rabbits. ,,,"pale green clear liquid,",,,,neat substance,,,,,,"test substance: vetiveryl acetate, PPL sample,  ester content: 46%",in vivo,rabbit / new zealand white,,,,,,,,8,,,,,,,,,,,,,,,,,,0.5,single,dermal,,semi-occlusive,clipped dorsum skin ,,4,h,3," immediately after treatment and at 24, 48 and 72 h after patch removal",,,,,,,,,,,,,,1982,no,the study could not be fully evaluated by the SCCS as the submitted original study report is poorly legible. the composition of the test substance is unknown to the SCCS.,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,"the effects on the cornea, iris and conjunctivae (reddening, swelling, ulceration) were scored after 1, 24, 48 and 72 hours according to the numerical system listed in commission directive 92/69/EEC. the single instillation caused slight reddening of the conjunctivae as well as moderate watery discharge in all animals within one hour after the treatment. by 24 hours the signs had been reversed. staining and corrosion of the cornea, sclera, and conjunctivae was not observed. ",,grade 1 of reddening ,no,,,,,,,,,,,"under the conditions of the study, neat vetiveryl acetate was considered to be “not irritating” to the rabbit eye.",,,yellow viscous liquid,,,,neat substance,,,,,9000317035,"test substance: vetiveryl acetate, ester content: 65.9%",in vivo,rabbit / new zealand white,,,,,,,,3,,,,,,,,,,,,,,,,,,0.1 ,single instillation in the conjunctival sac of the eye,ocular,,,,,,,3," 1, 24, 48 and 72 hours",,,,,,,,,no,,,,,1999,yes,"under the conditions of this study, the test substance is mildly irritating to the rabbit eye. the composition of the test substance is unknown to the sccs.",72,,,the untreated eye served as control ,"1male, 2 females",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
