dossier,OECD guideline,type of study,pdf link,clinical examination,microscopic finding,gross pathology,dose descriptor ,dose descriptor unit,moribund or dead animals prior to study termination ,mortality rate,conclusion,homogeneity and stability,treatment prior to application,pH,solid,solubility in vehicle,liquid,aerosol/dust/vapour,"particle size, shape and density distribution",concentration (% nominal and actual),composition,purity (%),chemical batch nr,additional info,species/strain,source,age value at start of experiment ,"age unit (day, week, month, year)","sex (female, male)",weight,"weight measuring unit (gram, kilogram)",feed,n animals / dose,dose levels,dose level unit ( or extra info),administration scheme,"oral (gavage, drink water, feed)",dermal,body surface area,"patching technique ( open, semi-occluded, occluded)",skin condition and region,"inhalation (nose (head) -only, whole body)",occular,other,dose volume ml/kg bw,rinsing procedure,use of anaesthetics and analgesics,vehicle name,vehicle concentration %,exposure time (hour),observation period (day),SCCS comment to test,year,control groups,GLP,preliminary test,Klimisch score,Ref. in dossier,additional information,own comments
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,,,> 5000,ld50 mg/kg,,,"triclosan is not acutely toxic via the oral route of administration, with high oral intubation ld50",,,,,,,,,,,,,,dog,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1989,,no,,,1,desalva et al. 1989. glp and oecd status not reported but some studies likely predate glp and oecd ,
hc red n° 3,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,"red-blue colorations of mucosae and urine were observed in all rats. at the tested doses, reduced activity was observed during the first 30 minutes and continued in the surviving rats up to 72h. after that and during the rest of the observation period, these animals had normal appearance. no effect on the body weight was recorded in the surviving rats of all groups. ",,,"3940, 2950","ld50 mg/kg in mals, in females",yes,"at the dose of 5 g/kg bw, 9 of 10 rats died within 24h. at the dose of 3.5 g/kg bw, 4 of 10 rats died within 24h and a total of 6 after 48h. 1 of 10 rats died within 24h at the dose of 2.5 g/kg bw. no mortalities were observed at 1g/kg. ",,,,,,,,,,25%,test substance suspension in the vehicle,,,test substance: hc red n°3,"rat/ bor: wisw, spf tno",,,,f & m,160-199; 140-174,gram in males; in female ,,10,"1, 2.5, 3.5, 5 ",g/kg bw,single,yes,,,,,,,,,,,carboxymethylcellulose ,0.5,,14,,1983,,no,,,2,,
hc red n° 3,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,signs of reaction to treatment were not recorded.,,,"1250-->5000, 2500-->5000","ld50 mg/kg in males, in females",yes,"in male rats, no death was observed at the dose of 1250 mg/kg bw and 5/5 deaths at the dose of 5000 mg/kg bw. in female rats, no death was observed at the dose of 1250 mg/kg bw, 1/5 death at the dose of 2500 mg/kg bw and 5/5 deaths at the dose of 5000 mg/kg bw.",,,,,,,,,,10%,test substance suspension in the vehicle,,,,rat/ sprague dawley,,,,f & m,190-240,gram ,,5," 1250, 5000; 1250, 2500, 5000",mg/kg bw in males; in females,single,yes,,,,,,,,,,,aqueous acacia,300%,,14,,1987,,no,,,3,the experiment did not conform to a guideline and the experimental description is incomplete. ,
acid orange 7 ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,,,,> 10000 ,ld50 mg/kg bw in mouse & rat,,,the test substance is of very low acute oral toxicity. ,,,,,,,,,,,,,,rat & mouse,,,,f ,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,1,taken from SCCS/1382/10. 2 species. female mice. no indication on used sex in rats  ,
acid orange 7 ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,,,,> 10000,ld50 mg/kg bw,,,the test substance is of very low acute oral toxicity. ,,,,,,,,,,,,,,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,"2, 3, 4 ",taken from SCCS/1382/10,
acid orange 7 ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,,,,11300,ld50 mg/kg bw,,,the test substance is of very low acute oral toxicity. ,,,,,,,,,,,,,,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,5,taken from SCCS/1382/10,
acid orange 7 ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,,,,1000,ld50 mg/kg bw,,,the test substance is of very low acute oral toxicity. ,,,,,,,,,,,,,,dog,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,5,taken from SCCS/1382/10,
"alkyl (c16, c18, c22) trimethylammonium chloride",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,,,,400-->600,ld50 mg/kg,,,the ld50 of the substance was reported to be between 400 and 600 mg/kg. ,,,,,,,,,,,,,test substance: cetrimonium chloride (a),mouse,,,,f & m,,,,10,"300, 400, 500, 600",mg/kg,,yes,,,,,,,,,,,,,,,,1978,,no,,,1,,
"alkyl (c16, c18, c22) trimethylammonium chloride",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,,,,"633, 536","ld50 mg/kg in males, in females",,,the ld50 of the substance was reported to be 633 mg/kg bw for the males and 536 mg/kg bw for the females. ,,,,,,,,,,,,,test substance: steartrimonium chloride,mouse,,,,f & m,,,,10,,,,yes,,,,,,,,,,,,,,,,1989,,no,,,1,,
"alkyl (c16, c18, c22) trimethylammonium chloride",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,,,,4.3,ld50 ml/kg bw,yes,50% of animals,,,,,,,,,,,,,,test substance: cetrimonium chloride,rabbit/ new zealand white albino,,,,,,,,6,4.3 ,ml/kg bw,,,yes,,,,,,,,,,,,,,,1977,,,,,1,,
basic brown 17,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_086.pdf,"signs or reaction to treatment, observed shortly after dosing, included lethargy, piloerection, decreased respiratory rate and abnormal body carriage (hunched posture). ",,,8-->16,ld50 mg/kg bw,yes,two male rats and one female rat from the highest dose group died. ,"after 14 days observation, the ld50 was reported to be between 8 and 16 g/kg bw.",,,,,,,,,"10, 40",the test compound was prepared as 10 and 40% (w/v) suspensions in 1% aqueous methylcellulose.,,,test substance: basic brown 17 in vehicle,rat/cfy,,,,f & m,,,,4,"0, 0.1, 1, 4, 8, 16",g/kg bw,,,,,,,,,,1 --> 40 ,,,aqueous methylcellulose,1,,14,,1977,rats dosed with the vehicle alone served as controls.,no,,,5,taken from sccp/0683/03 ,
basic orange 31,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_082.pdf,"clinical observations observed prior to death included salivation, lacrimation and hypoactivity.  all other animals survived until study termination; none showed signs of toxicity or adverse effects. ","macroscopic findings were red discoloured mucosal surface of stomach and distended organ filled with red lumen fluid in the stomach, caecum, ileum, duodenum, jejunum and colon. ",,1000 --> 2000,ld50 mg/kg bw,"yes, one female from the mid and high dose groups died on day 1 of the experiment. ",the study indicated a ld50 between 1000 mg/kg bw and 2000 mg/kg bw. ,,,,,,,,,,,,94.1,013673a1,test material: mip orange 3100,"rat/sprague dawley, crl: cd (sd)igs br ",,,,f & m,,,,4,"500, 1000, 2000",mg/kg bw,single dose,yes,,,,,,,,,,,water (cell culture grade),,,14,,,,yes,dose-limit test ,,1,taken from sccs/1334/10,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,"3.50, 3.30; 820","ld50 g/kg female rats, g/kg male rats; mg/kg bw mice",,,,,,,,,,,,,,,,"test substance: 1,4-diamino anthraquinone",rat & mouse,,,,f &m,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,1 (subm.1),taken from sccnfp/0504/01,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,> 5,ld50 g/kg bw ,,,,,,,,,,,,,,,,"test substance: 1,4-diamino anthraquinone",rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,2 (subm.1),taken from sccnfp/0504/01,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,1800,ld50 mg/kg bw,,,,,,,,,,,,,,,,"test substance: 1,4-diamino anthraquinone",rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,3 (subm.1),taken from sccnfp/0504/01,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,, ,"1250-->5000, 625 -->1250","ld50 mg/kg male rats, mg/kg bw female rats",,,,,,,,,,,,,,,,"test substance: 1,4-diamino anthraquinone",rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,15 (subm.2),taken from sccnfp/0504/01,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,6.65; 3.55,ld50 g/kg female rats; g/kg female mice,,,,,,,,,,,,,,,,test substance: 1-hydroxy-4-amino-anthraquinone,rat & mouse,,,,f,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,34 (subm.1),taken from sccnfp/0504/01. 2 species,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,640,ld50 mg/kg bw,,,,,,,,,,,,,,,,"test substance: 1,4-diamino anthraquinone",mouse/nmri,,,,,,,,,,,,,,,,,,,intraperitoneal,,,,,,,,,,,no,,,3 (subm. 1),taken from sccnfp/0504/01,
disperse violet 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,,,no,,no adverse effects were recorded,,,,,,,,,,,,,"test substance: 1,4-diamino anthraquinone",rat,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,no,,,3 (subm. 1),taken from sccnfp/0504/01,
"1,2,4-trihydroxybenzene ",non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_113.pdf,,,,350 --> 500,ld50 mg/kg bw/d,yes,death occurred within 24 hours after substance administration,"based on the observed mortality rates, the ld50 figure was calculated using three methods (probit method, litchfield & wilcoxon´s method, arcsinus method). ",,,,,,,,,1,test substance in  the vehicle,,,"test substance: 1,2,4-trihydroxybenzene",rat/ofa(sprague-dawley derived),,,,f & m,,,,10,"100, 250, 350, 500, 1000 ",mg/kg bw,,yes,,,,,,,,,,,carboxymethylcellulose/water,,,14,"the description of the procedure was very short. it was not possible to compare the method used with oecd 401. there was no information on the batch that was tested, the study was not carried out according to glp, and no data were presented on the development of the body weights. additionally, the study protocol did not include a necropsy. however, the outcome of this study adds some information on the toxicity of the compound",,,no,,,1,,
phenoxyethanol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,local erythema at the site of application was observed in two rabbits and was reversible within 3 days after dosing. desquamation was observed at the site of application in one rabbit from days 3-14 after dosing. ,,"gross necropsy revealed no gross pathological findings in any of the major organs evaluated including heart, lungs, brain, gastrointestinal tract, liver, and spleen.",>2214,ld50 mg/kg bw,no,,sufficiently reliable for evaluation of the endpoint of acute dermal toxicity although the study wasn't conducted under glp and the test substance purity was not reported,,,,,,,,,,undiluted test substance,,2219-93,test substance: emeressence 1160 (2-phenoxyethanol),rabbit/new zealand white,,,,f & m,,,,4,2214,mg/kg bw,single application,,yes,,occluded,damaged dorsal ,,,,2,,,,,24,14,"lack of any gross pathological alterations or lesions is reported in all standard organs following dermal application, however, these were not investigated in the kidney.",1980,,no,,,2,guideline: draft irlg (interagency regulatory liaison group) guidelines for selected acute toxicity tests (august 1979),
vitamin a,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,the surviving animals gained weight. ,,"necroscopy showed acute dilation of heart including congestion, discoloured liver with broaded lobes, irritated gastro-intestinal tract. those rats which were sacrificed at the end of the 21-day observation period did not reveal any gross pathologic alterations in the tissues and organs examined.",4980,"ld50 mg/kg bw ( 14.5 mio IU/kg bw) 5290 in males (15.4mio IU/kg bw), 4790 in females mg/kg bw (13.9 mio IU/kg bw)",yes,"mortality ratios were calculated after 1, 24 and 48 hours and after 7 and 14 days according to the probit analysis of finney (1971). deaths occurred dose-dependently within 7 days after dosing and signs of intoxication were observed in the animals that died or recovered until termination.",low toxicity in acute oral toxicity studies,,,,,,,,,,,,Jun-17,"test substance: test substance: retinyl acetate (ra), purity: 1.53 mio IU/g USP XIX (526 mg RAc/g), not stabilised",rat/sprague-dawley,,,,f & m,,,animal fasted 15-20h prior to application,"10, 20","3160, 3830, 4640, 5620, 6810, 8250  ","mg/kg bw, ",single,yes,,,,,,,,,,,peanut oil,,,21,"low toxicity for vitamin a ( retinol, retinyl palmitate, retinyl acetate) with the ranking declining in order of retinol> retinyl acetate > retinyl palmitate. these LD50 values are in line with peer-reviewed literature data given for retinol and retinyl esters: retinol: LD50 oral, mouse: 2570 mg RE/kg bw (8.5 mio IU/kg bw) LD50 i.p., mouse: 1510 mg RE/kg bw (5 mio IU/kg bw)/ retinyl acetate: LD50 oral, mouse: 4100 mg/kg bw (11.9 mio IU/kg bw) LD50 i.m., young monkey: 168 mg/kg bw (estimation) (0.49 mio IU/kg bw)/ retinyl palmitate: LD50 oral, mouse: 6060 mg/kg bw (11 mio IU/kg bw) LD50 oral, rat: 7910 mg/kg bw (14.4 mio IU/kg bw).in  general, in case of fatalities, the death was preceded by signs of acute toxicity in form of convulsions and paralysis, and those animals that survived had signs of malaise, decreased motor activity, stupor, muscular weakness, and occasionally changes in the gait. the animals that survived recovered with no apparent residual toxic effects. ",,,no,,,7,"guideline: not mentioned but comparable to oced 401, first fifth dose group 10 animals/sex, the highest dose group 5 animal/sex",
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,"activity decrease, crusted eyes, piloerection, ptosis, respiratory gurgle and sensitivity to touch/sound which were no longer evident in surviving animals by day 10. emaciation was found in one animal that died on test. body weights affected by exposure in surviving animals. ",,abnormal necropsy findings occurred in animals that died on test and consisted of red crust around mouth and dark red andswollen lungs. ,5.08,lc50 mg/l,yes,occurred as follows: 1 of 5 males and 0 of 5 females at 0.68 mg/l; 2 of 5 males and 0 of 5 females at 1.19 mg/l; 2 of 5 males and 1 of 5 females at 2.25 mg/kg. ,,,,,,,,yes,"mmads: 3.2, 2.5, 2.5 μm",,undiluted test substance,,,test substance: zinc omadine dispersion (fps) master Log: 74-01B10CuZPT sample 0104241211,rat/sprague-dawley,,,,f & m,,,,10,"0.68, 1.19, 2.25 ",mg/l,,,,,,,"yes, noseonly",,,,,,,,4,14,this study shows that systemic effects on hind legs might occur after inhalation exposure,2004,,yes,,,e3,guideline: oppts. 870.1300,
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,"surviving animals showed signs of toxicity post exposure (decreased activity, salivation, laboured breathing, tremours, staining around the mouth). no visible abnormalities were observed after post-exposure day 5. ",,necropsy of animals which died on study revealed congestion or discoloured lungs: animals necropsied at study termination showed no abnormalities.,<0.6 ,lc50 mg/l,yes,all deaths occurred on day 1 after exposure as follows: 1 of 5 males and 0 of 5 females at 0.24 mg/l; 1 of 5 males and 2 of 5 females at 0.61 mg/l.,an lc50 value could not be derived from the study but it is assumed to be < 0.6 mg/l,,,,,,,yes,"mmads: 1.9, 2.3",,,95,orc-152-011 dp ,test substance: zinc omadine® powder; Id.-no. 10215b,rat/sprague-dawley,,,,f & m,,,,10,"0.24, 0.61",mg/l,,,,,,,"yes, noseonly",,,,,,,,4,14,"a further whole body inhalation study was performed in which a lc50 value of 0.14 mg/l was derived. classification as acute tox 3 is suggested. sccs notes that classification as acute tox 3; H331 (toxic if inhaled) according to clp (regulation (EC) No 1272/2008 of the european parliament and of the council of 16 december 2008 on classification, labelling and packaging of substances and mixtures) is suggested by the registrant(s) under reach (echa website (http://echa.europa.eu/).",1991,,yes,,,e25,guideline: us epa 81-3 (compiles with oecd 403),
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,,90-->266; 160-1000; 600,ld50 mg/kg in rat; mouse; dog,,,,,,,,,,,,,,,,ingredient based ,rat; mouse; dog,,,,,,,,,,,,yes,,,,,,,,,,,,,,,"in addition to acute oral toxicity studies evaluated in sccnfp/0671/03 further studies have been performed. the data is not available for evaluation. sccs notes, however, that classification as acute tox 3; H301 (toxic if swallowed) according to clp (regulation (EC) No 1272/2008 of the european parliament and of the council of 16 december 2008 on classification, labelling and packaging of substances and mixtures is suggested by the registrant(s) under reach",,,,,,"b6, b10, b33, 57, b71, b73",taken from sccnfp/0671/03. 3 species. new ingredient based data: information on further acute oral studies performed with zpt is available on echa's website (http://echa.europa.eu/). ,
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,,2.5; 3.0,"ld50 g/kg cream shampoo, lotion shampoo",,,ld50 in rat for a cream shampoo formulation: 2.5 g/kg; for a lotion shampoo: 3.0 ml/kg,,,,,,,,,,,,,product derived,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,"in addition to acute oral toxicity studies evaluated in sccnfp/0671/03 further studies have been performed. the data is not available for evaluation. sccs notes, however, that classification as acute tox 3; H301 (toxic if swallowed) according to clp (regulation (EC) No 1272/2008 of the european parliament and of the council of 16 december 2008 on classification, labelling and packaging of substances and mixtures is suggested by the registrant(s) under reach",,,,,,b61,taken from sccnfp/0671/03. further study with a higher concentration fomulation of a cream shampoo showed higher ld50 concluding higher zpt level and estimated the ld50. the results showed that increasing the level of zpt increases acute oral toxicity. (synder er al 1965),
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,"product derived emetic study, in the study with dogs, the emesis typically occurred within 60 minutes of dosing, the average being 30 minutes, and involved two to four episodes. occasional bloody vomitus was seen, indicating gastric irritation.",,,≈ 0.05,ed50 g/kg,,,zinc pyrithione in a cream shampoo product is a potent emetic (ed50 app. 0.05 g/kg).  the ratios of ed50 to ld50 for both forms of the product are 1:125 for the cream shampoo and 1:42 for the lotion shampoo; therefore it was concluded in that it is unlikely that a human accidentally ingesting shampoo could retain a hazardous amount. ,,,,,,,,,,test substance in a cream shampoo,,,test substance: zinc pyrithione,dog; pigeon,,,,,,,,,,,,yes,,,,,,,,,,,,,,,"in addition to acute oral toxicity studies evaluated in sccnfp/0671/03 further studies have been performed. the data is not available for evaluation. sccs notes, however, that classification as acute tox 3; H301 (toxic if swallowed) according to clp (regulation (EC) No 1272/2008 of the european parliament and of the council of 16 december 2008 on classification, labelling and packaging of substances and mixtures is suggested by the registrant(s) under reach",,,,,,"b14, b15, b38",2 species.,
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,,"< 2,000  --> 10,000",ld50 mg/kg,,,,,,,,,,,,,,,,ingredient based ,rabbit /albino ,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,b66,taken from sccnfp/0671/03. information on further acute dermal studies performed with zpt is available on echa's website (http://echa.europa.eu/). hse (2003) describes an acute dermal toxicity study  (limit study) performed in 5 male and 5 female new zealand white rabbits. the animals received a single dermal application of 2000 mg/kg zpt moistened with water which was held in place for 24 hrs under semi-occlusive patch. the LD50 was > 2000 mg/kg. a single death was noted but it was unclear whether this was treatment-related. ,
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,,>2000,ld50 mg/kg,yes,single death but it was unclear whether this was treatment-related,,,moistened with water ,,,,,,,,,,,test substance: zpt. Ingredient based data,rabbit /new zealand white,,,,f & m,,,,10,2000,mg/kg,single,,yes,,semi-occlusive,,,,,,,,,,24,,,2003,,,limit test ,,,described by hse ,
