dossier,guideline,type of study,pdf link,Endpoints: Observations: clinical examiniation in males,Endpoints: Observations: gross pathology in males,Endpoints: Observations: microscopic pathology in males,Endpoints: Observations: clinical examiniation in females,Endpoints: Observations: gross pathology in females,Endpoints: Observations: microscopic pathology in females,Endpoints: LD50 (mg/kg),Endpoints: 95% confidence interval ,Endpoints: LD50 male (mg/kg),Endpoints: LD50 female (mg/kg),Endpoints: moribund or dead male animals prior to study termination,Endpoints: mortality rate in males,Endpoints: moribund or dead female animals prior to study termination,Endpoints: mortality rate in females,Endpoints: conclusion,Test method: Test substance: pH and adjustment,Test method: Test substance: physical form ,Test method: Test substance: concentration (%),Test method: Test substance: composition,Test method: Test substance: purity (%),Test method: Test substance: solubility in vehicle,Test method: Test substance: chemical batch nr,Test method: Test substance: additional info,"Test method: Test animals: Species: rodent/strain ( rat, mouse, …)","Test method: Test animals: Species: non-rodent/strain ( dog, rabbit, primate, …)",Test method: Test animals: source,Test method: Test animals: Age: age value at start of experiment ,"Test method: Test animals: Age: age unit ( days, weeks, months, years)",Test method: Test animals: Weight: male mean weight value ,Test method: Test animals: Weight: female mean weight value ,"Test method: Test animals: Weight: mean weight unit (g, kg)",Test method: Test animals: sex,Test method: Test animals: housing and feeding,Test method: Test animals: n animals / group,Test method: Test condition: dose levels value,Test method: Test condition: dose levels unity,Test method: Test condition: dose volume (ml/g),Test method: Test condition: administration scheme,"Test method: Test condition: Oral administration: gavage, intubation cannula, stomach tube",Test method: Test condition: Vehicle: name,Test method: Test condition: Vehicle: concentration,Test method: Test condition: observation period  ,Test method: Test condition: recovery period (d),Reliability: SCCS comment to test,Reliability: year,Reliability: control groups,Reliability: GLP,Reliability: limit test,Reliability: preliminary study,Reliability: klimisch score,Reliability: ref. in dossier,additional information,own comments
"alkyl (c16, c18, c22) trimethylammonium chloride",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,"during the first days after administration, animals of all treated groups showed decreased motor activity, squatting posture, sunken flanks, half-closed eyes, piloerection, pale skin, laboured irregular respiration, miosis and diarrhoea. all clinical signs had completely ceased by day 10. ",no macroscopic alterations were observed in rats that had survived until the end of the observation period.,"animals that had died during the study showed bleeding of the stomach mucosa, inflated stomach, white and/or partially detached stomach mucosa, hyaline aspect of the small intestine, reddened small intestinal mucosa, dark stained adrenals and lung haemorrhage",,,,2410,,2970,1550,yes,"except for one male of the 1000-mg/kg bw group that was found dead on day 13, all deaths occurred within the first 5 days. at 630 mg/kg bw: not tested; 1000 mg/kg bw: 1/5; 1600 mg/kg bw: 0/5; 2500mg/kg bw: 0/5; 3150 mg/kg bw: 3/5; 4000 mg/kg bw: 5/5",yes,"except for one male of the 1000-mg/kg bw group that was found dead on day 13, all deaths occurred within the first 5 days. at 630 mg/kg bw: 1/5 ; 1000 mg/kg bw: 1/5; 1600 mg/kg bw: 2/5; 2500mg/kg bw: 4/5; 3150 mg/kg bw: not tested; 4000 mg/kg bw: not tested",the study authors conclude that the LD50-value for Cetrimonium chloride is 2410 mg/kg day for male and female rats combined.,,,,,,,e06112547 (04.10.1983),test substance: genamin ctac (28-30% cetrimonium chloride in water),rat/Wistar,,,,,,,,f & m,,10,"630, 1000, 1600, 2500, 3150, 4000",mg/kg bw,,single,gavage,,,14,,,1984,,yes,,,1,6,"oecd tg 401 (1981), annex 5 to dir. 67/548/eec, method b.1: acute oral toxicity. the lowest dose only tested in females. the two highest dose only tested in males. ",
"alkyl (c16, c18, c22) trimethylammonium chloride",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,"no clinical signs were observed at 2000 mg/kg neither treatment-related effects on body weight gain,",,no macroscopic alterations were observed,no clinical signs were observed at 2000 mg/kg neither treatment-related effects on body weight gain,,no macroscopic alterations were observed,,,,,no,,no,,"the study authors conclude that since no lethality occurred at 2000 mg/kg bw and no significant clinical signs were observed at this dosage level, quartamin 86w was considered to be non-toxic. ",,,,,,,1841 (batch nr. not documented),test substance: quartamin 86w (unknown percentage of steartrimonium chloride),rat/sprague dawley,,,,,,,,f & m,,10,2000,mg/kg bw,,,gavage,,,14,,,1996,,yes,limit test , in a preliminary study with 2000 mg/kg bw one female died after 6 days.,1,8,"regarding GLP compliance:   only report was audited, not the study itself. oecd tg 401, annex 5 to dir. 67/548/eec, method b.1: acute oral toxicity",
"alkyl (c16, c18, c22) trimethylammonium chloride",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,"the following clinical signs occurred at all dose levels during the first days after administration: squatting posture, sunken flanks, bristled coat, stilted and uncoordinated gait, half-closed eyes, irregular respiration, swollen abdomen, and diarrhoea. additionally, ataxia was observed in animals of the 2000 mg/kg bw group. all symptoms had completely disappeared by day 8. body weight development was not impaired.",,"animals that had died during the study showed inflated stomach, detachment of the stomach mucosa and petechial bleedings, small intestinal containing yellowish mucous or clear fluid, detachment of intestinal mucosa, mucosal bleeding. no macroscopic alterations were observed in rats that survived until the end of the observation period. ","the following clinical signs occurred at all dose levels during the first days after administration: squatting posture, sunken flanks, bristled coat, stilted and uncoordinated gait, half-closed eyes, irregular respiration, swollen abdomen, and diarrhoea. additionally, ataxia was observed in animals of the 2000 mg/kg bw group. all symptoms had completely disappeared by day 8. body weight development was not impaired.",,"animals that had died during the study showed inflated stomach, detachment of the stomach mucosa and petechial bleedings, small intestinal containing yellowish mucous or clear fluid, detachment of intestinal mucosa, mucosal bleeding. no macroscopic alterations were observed in rats that survived until the end of the observation period. ",,,,702.5,yes,"except for one male and one female that were found dead on days 4 and 7, respectively, all deaths occurred within the first day. at 630 mg/kg bw: not tested, at 800mg/kg bw: 0/5, at 1250 mg/kg bw: not tested, at 2000 mg/kg bw: 5/5",yes,"except for one male and one female that were found dead on days 4 and 7, respectively, all deaths occurred within the first day. at 630 mg/kg bw: 2/5, at 800mg/kg bw: 3/5, at 1250 mg/kg bw: 5/5, at 2000 mg/kg bw: 5/5","the study authors calculated a LD50 value of 702.5 mg/kg bw for female rats using the probit method, whereas the LD50 value in males could not be calculated. ",,,,,79.2 ,,1061969521,"test substance: genamin stac (79.2% steartrimonium chloride, 19.1% isopropanol and 0.9% water) ",rat/wistar,,,,,,,,f & m,,10,"630, 800, 1250, 2000 ",mg/kg bw,,single,gavage,,,14,,,1996,,yes,,,3,9,"only 800 and 2000mg /kg bw tested in males. regarding glp compliance:   only report was audited, not the study itself. oecd tg 401, annex 5 to dir. 67/548/eec, method b.1: acute oral toxicity",
basic violet 2,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_066.pdf,"clinical signs: piloerection, breathing difficulties, staining of fur, urine and faeces.",,,"clinical signs: piloerection, breathing difficulties, staining of fur, urine and faeces.",,,,,,,yes,3 males died within 5 days of dosing. ,no,,the oral LD50 in rats exceeded 2000 mg/kg bw.,,,,,,,GST 063-01/41-06,,rat/sprague dawley hsd: sd ,,,,,,,,f & m,,10,2000,mg/kg bw,,,,cmc aqueous solution ,0.5,,,,2002,,yes,limit test,,1,15,taken from sccnfp/0784/04 ,
basic violet 2,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_066.pdf,"clinical signs at 2000 mg/kg bw: piloerection, reduced activity, hunched posture, breathing difficulties, staining of fur, urine and faeces, swollen abdomen. ",,,"clinical signs at 2000 mg/kg bw: piloerection, reduced activity, hunched posture, breathing difficulties, staining of fur, urine and faeces, swollen abdomen. ",,,,,,,yes,"at 2000 mg/kg bw, 1 male died within 48 hours of dosing. No mortalities at lower dose levels. ",yes,"at 2000 mg/kg bw, 1 female died within 48 hours of dosing. no mortalities at lower dose levels. ",the oral LD50 in rats exceeded 2000 mg/kg bw.,,,,,,,GST 063-01/41-06,,rat/sprague dawley hsd: sd,,,,,,,,f & m,,10,"500, 1000, 2000 ",mg/kg bw,,,,cmc aqueous solution ,0.5,,,,,,yes,,,1,15,taken from sccnfp/0784/04 ,
basic yellow 57,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_020.pdf,"signs of reaction to treatment observed shortly after dosing in all rats were increased salivation, pilo-erection, hunched posture and abnormal gait (waddling). recovery was complete by day 3.",,,"signs of reaction to treatment observed shortly after dosing in all rats were increased salivation, pilo-erection, hunched posture and abnormal gait (waddling). recovery was complete by day 3.",,,,,,,no,,no,,the acute lethal oral dose to rats of arianor straw yellow was greater than 2.0 g/kg bw.,,,,,,,ks 3131,test substance: arianor straw yellow ,rat / sprague-dawley cd,,,,,,,,f & m,,10,2.0,g/kg bw,,,gavage,distilled water,,15,3,,1986,,no,,,1,5,,
hc red n° 16,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_045.pdf,"signs of reactions to treatment were observed shortly after dosing in all surviving animals, including lethargy, red discolorations of urine and red teguments. males treated at 316 mg/kg bw showed a statistically significant delay of body weight gain from day 8 onwards. recovery of survivors, as judged by external appearance and behaviour, was apparently complete within 4 days of treatment. no macroscopic findings that could be associated with treatment were observed on rats sacrificed on study termination.","autopsy of the rats found dead during the study revealed discoloration of the stomach with black areas, marked dilatation of the bladder by a black liquid, pale white to dark red areas in the liver.",,"signs of reactions to treatment were observed shortly after dosing in all surviving animals, including lethargy, red discolorations of urine and red teguments. no body weight changes comparing to control rats were noted in the low dose group and in the females from the medium dose group. recovery of survivors, as judged by external appearance and behaviour, was apparently complete within 4 days of treatment. no macroscopic findings that could be associated with treatment were observed on rats sacrificed on study termination.","autopsy of the rats found dead during the study revealed discoloration of the stomach with black areas, marked dilatation of the bladder by a black liquid, pale white to dark red areas in the liver.",,≈ 392,,,,yes,"at the dose level of 501 mg/kg bw, 3 males  were found dead on day 2, one additional male was found dead on day 3.",yes,"one female was found dead 15 minutes after treatment at the dose of 316 mg/kg bw. at the dose level of 501 mg/kg bw,one female was found dead on day 2. four additional females were found dead on day 3.",the acute median lethal oral dose (LD50) to rats of hc red n°16 was calculated to be around 392 mg/kg. hc red n°16 should then be considered as harmful when administered by the oral route.,,liquid,,test substance in 1% aqueous dispersion of cacmc in deionised water ,99.2,,ro-el 5622/134,test substance: hc red n°16 (sat 950726),rat /sprague dawley ,,,,,,,,f & m,,10,"0, 200, 316, 501",mg/kg bw,,,gavage ,aqueous dispersion of carboxymethylcellulose in deionised water,1,14,4,,1995,,yes,,,1,5,,
polysilicone-15,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_024.pdf,no clinical abnormalities were observed. weight gain of the animals was what would be expected of this strain. ,no abnormalities were found at autopsy.,,no clinical abnormalities were observed. weight gain of the animals was what would be expected of this strain. ,no abnormalities were found at autopsy.,,> 2000,,,,no,,no,,,,liquid,,suspension of the test substance in the vehicle,,,,,rat/wistar spf,,,,,,,,f & m,animals  had been fasted for 17 hours,10,2000,mg/kg bw, 5,single,gavage,sodium carboxymethylcellulose,0.5,14,,,,,yes ,,,1,1,,"the oecd guideline is not mentioned in the opinion. however, it's clearly stated that the study is done in accordance with oecd guidelines. considering the design of the study, it should have been done under oecd 401 "
hydroxyethyl-p-phenylenediamine sulfate ,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,"no effects on body weight and body weight gain were observed. all animals showed signs of malaise (e.g. decreased motor activity, ruffled fur, closed eyes, hunched posture, decreased muscular tension or unconsciousness). in some animals ataxia, dyspnoea or low grade convulsions were observed. effects diminished and returned to normal within 6hr – 1wk post administration.",7/20 of the animals that died early did not show any clinical signs at the post-mortem examination. most of the other animals that died early showed signs of shock due to severe gastrointestinal irritations or hepatotoxicity,,"no effects on body weight and body weight gain were observed. all animals showed signs of malaise (e.g. decreased motor activity, ruffled fur, closed eyes, hunched posture, decreased muscular tension or unconsciousness). in some animals ataxia, dyspnoea or low grade convulsions were observed. effects diminished and returned to normal within 6hr – 1wk post administration.",7/20 of the animals that died early did not show any clinical signs at the post-mortem examination. most of the other animals that died early showed signs of shock due to severe gastrointestinal irritations or hepatotoxicity,,80,71-89,,,yes,all dead in the 112 or 200mg/kg bw. death occurred between 1 hr-4 days in the 112 mg/kg bw group and between 30 min-2 hr in the 200 mg/kg bw group. 1/10 of the animals in the 63 mg/kg bw died within 4 hr post administration. ,yes,all dead in the 112 or 200mg/kg bw. death occurred between 1 hr-4 days in the 112 mg/kg bw group and between 30 min-2 hr in the 200 mg/kg bw group. 1/10 of the animals in the 63 mg/kg bw died within 4 hr post administration. ,"under the experimental conditions of this study, the LD50 was 80 mg/kg bw (71-89 mg/kg bw 95% CI), calculated for both sexes combined.",,,,test substance dissolved in the veicle,> 98,,,"test substance: hydroxyethyl-p-phenylenediamine (1,4-diamino-2-ßhydroxyethylbenzene-sulfate)",mouse/him:ofi,,,,,,,,f & m,,10,"20, 36, 63, 112, 200 ",mg/kg bw,,single,gavage,,,14,,,1990,,yes,,"the dosage-range was based on a preliminary study, in which all animals (4/4) died after receiving 200 or 2000 mg/kg bw hydroxyethyl-p-phenylenediamine. ",1,18,,
"1-hydroxyethyl-4,5-diamino pyrazole sulfate",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_079.pdf,no mortality or any clinical signs of systemic toxicity were recorded in the test animals. orange coloured urine was observed in all animals. Body weight gain was within a normal range.,"in one male, large mesenteric lymph nodes and a grey-white covering on the spleen capsule were noted",,no mortality or any clinical signs of systemic toxicity were recorded in the test animals. orange coloured urine was observed in all animals. Body weight gain was within a normal range.,,,>2000,,,,no,,no,,the acute oral LD50 in rats was greater than 2000 mg/kg bw,,,,,99.1,,GST 4-20079,test substance: DA 010894,"rat/ him: ofa, sprague dawley, spf",,,,,,,,f & m,,10,2000,mg/kg bw,10,single,intubation,deionized water,,14,,,,,yes,,,1,15,it was a limit-test study.,
"2,4-diaminophenoxyethanol dihydrochloride and sulfate",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_035.pdf,hypoactivity or sedation and piloerection were noted in all animals on day 1. lateral recumbency and tonic-clonic convulsions were also observed in two animals on day 1. hypoactivity or sedation and piloerection persisted in the surviving animals up to day 3 or 4.  body weight gain in surviving animals was not affected by treatment with the test substance. no apparent abnormalities were observed at necropsy in all animals.,no apparent abnormalities were observed at necropsy in all animals.,,"hypoactivity or sedation and piloerection were noted in all animals on day 1. lateral recumbency and tonic-clonic convulsions were also observed in two animals on day 1, one of these animals was found dead a few hours later. hypoactivity or sedation and piloerection persisted in the surviving animals up to day 3 or 4; dyspnoea and unsteady gait were recorded in the surviving females up to day 3. body weight gain in surviving animals was not affected by treatment with the test substance. no apparent abnormalities were observed at necropsy in all animals.",no apparent abnormalities were observed at necropsy in all animals.,,≈ 1000,,,,yes,one male was found dead on day 2,yes,"two females were found dead on day 2, another female died on day 1 after a lateral recumbency and tonic-clonic convulsions ","under the experimental conditions, the LD50 of the test item was close to 1000 mg/kg bw, since a single dose of 1000 mg/kg bw induces death in 1/5 male and 3/5 female rats.",,,,,99.6,,101297,"test substance: imexine oaj, test substance 2952 ",rat/ sprague dawley ico:ofa-sd (iops caw) ,,,,,,,,f & m,fasted,10,1000,mg/kg bw ,,single,gavage,,,14,,,,,yes,,,1,1,,
"2,6-dihydroxyethylaminotoluene",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf,all animals showed the expected gain in bodyweight during the study. hunched posture and lethargy were noted in all animals on the day of dosing. ,no abnormalities were noted at necropsy.,,all animals showed the expected gain in bodyweight during the study. hunched posture and lethargy were noted in all animals on the day of dosing. ,no abnormalities were noted at necropsy.,,>2000,,,,no,,no,,LD50 of the test compound was found to be greater than 2000 mg/kg bw in rats.,,solution,,test substance as a suspension in distilled water,,,#2,test substance: a 138 ,rat/sprague-dawley,,,,,140-152 ,129-140 ,g,f & m,,10,2000,mg/kg bw,,single,,,,14,,,,,yes,,,1,1 (submission 1),"a limit test. the method used followed oecd guideline n° 401 (1981), referenced as method b1 in commission cirective 84/449/eec. ",
Disperse Blue 377,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_088.pdf,"Clinical signs at both dosages included blue cage paper and urine, blue tint to eyes, blue ears, paws and tails. No visible lesions were observed at necropsy. ",,,"Clinical signs at both dosages included blue cage paper and urine, blue tint to eyes, blue ears, paws and tails. No visible lesions were observed at necropsy. ",,,,,,,no,,no,,In this study the test substance Disperse Blue 377 was non-toxic at 2000 mg/kg bw after oral administration to rats. ,,,,,,99.6 (49.8% active dye in lignosulphate dispersant) ,A-16798,test substance: TM#1498 (Disperse Blue 377),Rat / Sprague-Dawley  – Hsd:SD,,,,,,,,f & m,,6,"500, 2000",mg/kg bw,,single once daily ,gavage,Hydroxypropylcellulose (HPC) in distilled water ,0.5 %,15,,,2000,,yes,,,1,"1 (subm. I), 2 (subm. II)","Clinical signs were recorded at 1 h and 4 h post-dose and daily thereafter through day 15. Body weights were recorded on days 1, 8 and 15. Gross necropsy was performed on day 15 ",
HC Blue n° 14,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_062.pdf ,,"the general behaviour and body weight gain of the animals were not affected by the treatment with the test substance. from day 8 onwards, spots of blue coloration were observed on the tail of the males. this was attributed to faecal elimination of the test substance, which is a dark blue dye. no abnormalities were observed at necropsy.",,,The general behaviour and body weight gain of the animals were not affected by the treatment with the test substance. ,,>2000,,,,no,,no,,the LD50 of the test substance was higher than 2000 mg/kg bw in rats. no signs of toxicity were observed at this dose.,,,,,,94.6 (hplc),Pil 1,test substance: Imexine BJ,Rat/Sprague-Dawley ICO/OFA-SD (IOPS Caw),,,,,,,,f & m,,10,2000,mg/kg bw,10,,,aqueous methylcellulose,0.5% ,14,,,,,yes,,,1,1,Taken from SCCNFP/0734/03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
