dossier,guideline,PDF link,type,clinical observations,functional observations,other,haematology,"urinalysis ""Urinalysis""[Mesh]",blood and serum biomarkers,gross pathology,histopathology,critical effect,point of departure (pod),description of pod ,target organ,moribund or dead animals prior to study termination,mortality rate,conclusion,homogeneity and stability ,treatment prior to application,pH and adjustment,"physical form (solid, liquid, aerosol, dust)",concentration (%),composition,purity (%),particle size and procedure,solubility in vehicle,chemical batch nr,additional info,species/strain,source,"age at start of experiment (days, weeks, months, years)","age  unit (day, week, month, year)","sex (female, male)",feed,weight,"weight unit (gram, kilogram)",n animals / group,dose levels,dose level unit (or extra info),dose volume ml/kg bw,administration scheme,"oral ( gavage, diet, water, intubation, other)",dermal,"patching technique (open, semi-occluded, occluded)",body surface (cm2 or %),skin condition,area of body,"inhalation ( nose head - only, whole body)",other,rinsing,vehicle name ,vehicle concentration %,sampling ,observation period day ,exposure period + recovery period days,year,GLP,SCCS comment to test,Ref. in dossier,preliminary test ,control group + satellite group,klimisch score,additional information,own comments
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,in vivo,rat: differences in mean body weight gains were not dose related; mouse: mean body weight gains were comparable between dosed or control groups. ,,,,rat & mouse: the urine of all dosed animals was maroon to orange throughout the studies.,,"dark thyroid glands were observed in 5/5 male rats that received 1000 mg/kg/d, 2/5 males that received 500 mg/kg/d and 2/5 males that received 250 mg/kg/d. ",no histopathology examination was performed,,1000; 500,"noael, mg/kg bw/d in rat; in mouse",,no,,,,,,,,,97,,,lot 5890377,test substance: hc red n° 3,rat / f344/n; mouse / b6c3f1,,,,f & m,,,,10,"0, 62, 125, 250, 500, 1000;  0, 31, 62, 125, 250, 500 ",mg/kg bw/d in rats; in mice,,daily ,"yes, gavage",,,,,,,,,carboxymethylcellulose in water,1,,,14 days,1978,no,,17,,,,2 species tested. glp statement: not specified but performed following ntp practices,"both gavage and diet are mentioned for administration. for determining klimisch score, it matters which one is correct because if gavage the volume should be given."
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,in vivo,rat: the final mean body weights of males that received doses of 1000 mg/kg bw/d and 500 mg/kg bw/d were respectively 7% and 5% lower than those of controls. final body weights of dosed female were greater than those of controls; mouse: the final mean body weights of males that received doses of 250 mg/kg bw/d were 7% lower than those of controls. final body weights of dosed female were comparable to those of controls.  ,,,,rat: the urine of all dosed animals was orange to purple throughout the studies; mouse: the urine of all dosed animals was red throughout the studies. ,,mouse :no compound-related microscopic pathologic effects were recorded. ,rat: granules of brown to golden-brown pigment were found in the cytoplasm of the thyroid gland follicular epithelial cells in 10/10 males and 10/10 females that received 1000 mg/kg bw/d and in 10/10 males and 7/10 females that received 500 mg/kg bw but not in any of the rats that received 250 mg/kg bw/d. similar pigment was found in the cytoplasm of convoluted tubular epithelial cells in the kidneys of all rats that received 1000 mg/kg bw/d and in 7/10 males and 10/10 females that received 500 mg/kg bw and in 6/10 males and 7/10 females that received 250 mg/kg/d; mouse :no compound-related microscopic pathologic effects were recorded. ,body weight decrease,250; 125,noael mg/kg bw/d in rat; noael mg/kg bw/d in mouse,,yes,"0 in rats, in mice all death occured were related to gavage technique","pigmentation was not considered by the applicant as adverse effects and based on the body weight decrease observed at 1000 mg/kg bw/d and 500 mg/kg bw/d, the noael is 250 mg/kg bw/d in rats while the noel is 125 mg/kg bw/d (adjusted for 5 days treatment per week: 180 and 90 mg/kg bw, respectively). in mice, based on the body weight decrease observed at 250 mg/kg bw/d the noael is 125 mg/kg bw/d (adjusted to 90 mg/kg bw). ",,,,,,,97,,,lot 5890377,test substance: hc red n° 3,rat / f344/n; mouse / b6c3f1,,,,f & m,,,,20,"0, 62, 125, 250, 500, 1000;  0, 31, 62, 125, 250",mg/kg bw/d in rats; in mice,,daily 5days/week ,"yes, gavage",,,,,,,,,corn oil ,,,,13 weeks,1979,no,,17,,,,2 species tested. glp statement: not specified but performed following ntp practices,
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,in vivo,body weights and survival differed little between treated and control groups. ,,,differences between treated and control groups in haematological and urinary values were not considered to be indicative of toxicological effects.,differences between treated and control groups in haematological and urinary values were not considered to be indicative of toxicological effects.,,"differences between treated and control groups in absolute and relative liver and kidneys weights were not considered to be indicative of toxicological effects. chronic
inflammation of the skin was observed in the control and treated mice. ","microscopic examinations of the skin revealed occasional hyperplasia, necrosis, ulceration and other lesions not significantly increased by dye treatment.",,,,,no,,,,,,,0.3,test substance in a hair dye formulation (formula 7601),,,,,test substance: hc red n° 3,mouse/ eppley swiss,,,,f & m,,,,120,0.3,%,0.05ml,3 times per week,,yes,,1cm2,,,,,,hair dye formulation (formula 7601),,,,20 months,,no,the experiment did not conform to a guideline and was not performed according to glp. the purity and specifications of test article are not known. different hair dye formulations were tested in this study. the results are sparsely reported. no noael can be derived from this study. ,27,,,,"study period: not specified, before 1984. the administration was lifetime. 10 mice per sex per group were sacrificed nine months after treatment for clinical tests, haematology and necropsy.",
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,in vivo,no noteworthy differences were seen in any of the parameters studied between the controls and the animals receiving 19.5 or 97.5 mg/kg bw/day. all dogs gained weight normally and survived to end of the 104 weeks.,,,,all dogs in the two test groups excreted urine of a bluebrown colour on a daily basis. however urine analysis showed no remarkable findings. colour was normal in urine collected after overnight fasting.,,no gross or microscopic changes were seen in the various tissues and organs that could be attributed to the test material.,no ultra-structural changes were observed in the electron microscopic studies conducted on sections of liver and urinary bladder. ,,,,,no,,the authors concluded that oral dosing exposure of a hair dye formulation containing 0.02% hc red n° 3 in formulations up to 97.5 mg/kg bw/day did not result in any signs of toxicity.,,,,,0.02,hair dye formulation containing test substance,,,,,test substance: hc red n° 3,dog/ beagle,,,,f & m,,,,12,"0, 19.5, 97.5",mg/kg bw/day,,,"yes, diet",,,,,,,,,,,,,24 months,,no,the experiment did not conform to a guideline and was not performed according to glp. the purity and specifications of test article are not known. different hair dyes were tested in this study. the concentration of hc red n° 3 tested was too low compared to commercial formulations. the results are sparsely reported. no conclusions concerning long term toxic effects can then be made from this study. ,28,,,,"study period: before 1975. necropsy was performed on one male and one female from each group at 6, 12 and 18 months.  individual organ weights and organ to body weight ratios of the major organs were recorded. sections from 30 tissues or organs were prepared and examined microscopically. electron microscopic evaluation of the livers and urinary bladder from all 18 dogs at 24 months was performed. ",
acid orange 7 ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,in vivo,"discoloration of faeces resulting from the oral administration of acid orange 7 was observed. no changes were observed in the body and body weight gains of the rats, nor in the food consumption.",,,,,,"a significant increase in the absolute and relative spleen weight was observed in the rats treated at the doses of 60, 100, 300 and 1000 mg/kg bw/day. at 10 mg/kg bw/day this increase was also observed but was not statistically significant.","enlarged spleens were macroscopically observed in all rats treated at the dose of 100, 300 and 1000 mg/kg bw/day. extramedullary hemopoiesis was observed in all rats treated at the dose of 10 and 60 mg/kg bw/day (no histological examination was performed on other groups). this was considered to be related to the tested compound. ",,,,,no,,"on the basis of the results obtained in the 14-day dose range finding study, a proposal of dose levels for 90 day sub-chronic toxicity study is not possible. therefore, an additional 14- day range finding study with the dose levels of 0, 2.5, 5, 10 mg/kg bw/day was envisaged.",,,,,,test substance in aqueous solution (bi-distilled water) + vehicle,90,,,"2097af, lot no. aj 3559",test substance: acid orange 7 ,rat / hanibm:wist spf,,,,f & m,,88-114 & 77-104,g male & female,10,"0, 10, 60, 100, 300, 1000",mg/kg bw/d,,once daily ,"yes, gavage",,,,,,,,,cmc,1,,,14 days,,no,,12,,,,range-finding study,
acid orange 7 ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,in vivo,"no changes were observed in the body weight gains of the rats,or food consumption.",,,heinz bodies were not reported in these animals,,methemoglobin levels were significantly increased in the female treated at the dose of 10 mg/kg bw/day after 14 days treatment. this increase was also observed in males at the same dose but was not statistically significant.  bilirubin levels were also increased in the male rats treated at 10 mg/kg bw/day but this increase was not considered to be related to the tested compound.,no test compound related findings in organ weight were observed.,no microscopic findings related to acid orange 7 were reported.,,,,,no,,"on the basis of the results obtained in the 14-day dose range finding study, the following dose levels for the 90-day subchronic study were proposed: 0, 2.5, 5, 10 mg/kg bw/day.",,,,,,test substance in aqueous solution (bi-distilled water) + vehicle,90,,,"2097af, lot no. aj 3559",,rat / hanibm:wist spf,,,,f & m,,94-118 & 85-106,g male & female,10,"0, 2.5, 5, 10",mg/kg bw/d,,"once daily, 7 dyas / week",yes gavage,,,,,,,,,cmc,1,,,14 days,,no,,13,,,,range-finding study,
acid orange 7 ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,in vivo,"no evidence of systemic toxicity, growth responses were normal",,,haematological values were normal,urinary components were normal,,fross autopsies disclosed no dose-related findings.,,,,,,no,,,,,,,0.1 & 1,test substance acid orange 7 dissolved in water as well as usp white ointment,,,,fda certified material,,rabbit,,,,,,,,3,,,,daily ,,yes,,,intact & abraded,,,,,,,,,90 days & 21 days,,no,,15,,control groups were treated with respective media.,,,
acid orange 7 ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,in vivo,,,,,,,,,,,,,no,,the authors conclude that no adverse reactions or pathological changes were observed following weekly dermal applications of d&c orange 4.,,,,,1,test substance dissolved in water ,,,,fda certified colour was used.,,mouse/swiss webster ,,,,f & m,,17-25,g ,100,1,%,0.1ml,once per week,,,,6cm2,,,,,,,,,,18 months,,no,the study cannot be regarded as sufficient for evaluation. for additional studies see carcinogenicity.,,,,,"after necropsy, organs were fixed in 10% formalin solution after recording any gross pathological findings.",
acid red 92,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_087.pdf,in vivo,"reddish faeces in all test groups (dose related severity). body weight: no treatment-related changes, food intake: no treatment-related changes ",,,"percentage of basophils decreased in high-dose females, platelet count increased in high-dose females",,,organ weights: no treatment-related changes,stomach irritation in both sexes at 50 and 250 mg/kg bw/day (focal spongiosis of the limiting ridge in high-dose group both sexes and dyskeratosis in mid- and high dose females).,,,,,no,,"10, 50 and 250 mg/kg bw/day were selected as dose levels for a subsequent 13-wk study.",,,,,,,94-99.5,,,ar92-020420,,rat/ hanbrl : wist (spf),,,,f &m,,,,10,"0, 10, 50, 250 ",mg/kg bw/day,,7 days per week,,,,,,,,,,water,10 ml/kg bw/day,,,4 weeks,,no,,11,,,,purpose of study: to select dose levels for a subsequent 13-wk study,
"alkyl (C16, C18, C22) trimethylammonium chloride",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,all animals survived the study and all treatment-related changes were shown to be reversible following the recovery period. there were no effects on food consumption and body weight development. the mean water intake of the males of the high dose group was higher than that of controls. ophthalmologic results revealed no treatment-related changes in any group. ,,,haematological results revealed no treatment-related changes in any group. ,,300 mg/kg bw/day: - minor increase in serum alt activity in males and females (within the range of the historical controls);,at 300mg/kg bw/d in males: slight increase in absolute and relative adrenal weights and slight decrease in absolute and relative spleen weight,"300 mg/kg bw/d : macroscopic examination: thickening of the forestomach mucosa, associated with oedema and sporadic ulceration in male and female rats; - microscopic examination: inflammatory oedema of the forestomach mucosa, sporadic ulceration and acanthosis up to papillomatous hyperplasia in both sexes; - no histopathological alterations were found in adrenals and spleen or any other organs",weight changes of spleen and adrenals and the increase in serum alt activity ,100,"noel, mg/kg bw/d",,no,,the study authors conclude that the forestomach and stomach changes observed at 300 mg/kg bw/day can be considered to be a result of local irritation and therefore are not indicative of systemic toxicity. the slight weight changes of spleen and adrenals and the increase in serum alt activity were regarded as a possible sign of some systemic toxicity. the dosage of 100 mg/kg bw/day was considered to be the no-observed-effect-level (noel) of dehyquart a-ca (24-26% cetrimonium chloride in water) in this study,,,,,24-26,cetrimonium in water ,,,,548050,test substance: dehyquart a-ca,rat/sprague dawley,,,,f & m,,,,20,"0, 30, 100, 300",mg/kg bw/day,,5 days/week,"yes, gavage",,,,,,,,,,,,56 days,28 days + 28 days,1988,yes,,33,,10 animals in recovery group. control animals received 10 ml of distilled water per kg bw/day. control and high dose groups were supplemented with 5 rats/sex in order to study the reversibility of treatment-related effects after a subsequent 28-day treatment-free period.,,"guideline: annex 5 to dir. 67/548/eec, method b.7: repeated dose (28 days) toxicity (oral)",
"alkyl (C16, C18, C22) trimethylammonium chloride",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,"slight to moderate erythema was observed in all treated rabbits between days 4 and 8, but disappeared in 4 rabbits by day 17. very slight to slight oedema was observed between days 6 and 12 in 4 rabbits and subsided by day 17. two rabbits had intermittent slight oedema during week 4, and one rabbit developed oedema on day 20. no evidence of desquamation or leather-like skin was present in these animals. in the other rabbits, slight atonia occurred up to week 4 in 3 animals. slight skin fissuring was observed in most of the rabbits but typically disappeared by the end of the study. there were no treatment-related effects on body weight.",,,there were no treatment-related effects on haematology,,,there were no treatment-related effects on organ weight and gross necropsy findings ,"there were no treatment-related effects in histopathology, except for treated areas of the skin that showed mild to marked acanthosis with active mitosis, hyperkeratosis, and partial to extensive necrosis of the epidermis and hair follicles, partly with encrustation and exudate. ",,10,noael mg/kg bw/d,,yes,2 control group animals died during the study,"the us national toxicology programme report concluded that the toxic response only consists of skin irritation, and proposed a noael value of 10 mg/kg bw/day for systemic effects.",,,,,,,,,,,test substance: cetrimonium chloride,rabbit/new zealand albino,,,,f & m,,,,10,"0, 10 ","mg/kg bw/day, 0 or 0.5% aqueous solutions, respectively",2.0,5 days/week for 6.5 to 7 hour exposure ,,yes,,,abraded with a  clipper prior to each application ,,,,following the exposure the skin surface was cleaned with water ,,,dermal irritation reading recorded daily ,,28 days,1978,,,34 (= pp.170-171 of ref.1),,,,approximately 25% of the body surface was clipped ,
"alkyl (C16, C18, C22) trimethylammonium chloride",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_012.pdf,in vivo,"10 mg/kg bw/day: - slightly increased body weight (not statistically significant); 20 mg/kg bw/day: - slightly increased body weight (not statistically significant); 45 mg/kg bw/day: - significantly reduced mean body weights in both sexes after 3 weeks, persisting till end of study in males and for 9 weeks in females - males: significantly decreased efficiency of food conversion, - significantly reduced skeletal growth (judged by the growth of the tail) in both sexes - wetting and discoloration of ventral fur, often associated with a brown discoloration of the fur ",,no compound related changes were observed in haematological,,no compound related changes were observed in clinical laboratory analyses of urine.,no compound related changes were observed in haematological and clinical laboratory analyses of blood , 20 mg/kg bw/day: - increased relative caecum weight in males. 45 mg/kg bw/day: - males: reduced relative liver weight - increased relative caecum weight in both sexes. no gross necropsy changes were seen,no microscopic alterations were found in the wall of stomach and small intestine of treated rats. no other tissues were subjected to histopathological examination.,,10,noael mg/kg bw/d,,no,,"the authors conclude that cetrimonium bromide, when continuously administered in large doses, may potentially prevent proper nutrition by increasing the rate of gastric emptying and intestinal transit and/or by interfering with the absorption of nutritional substances.",,,,,,,,,,,test substance: cetrimonium bromide,rat/sprague dawley,,,,f & m,,,,20,"0, 10, 20, 45 ",mg/kg bw/day,,,yes,,,,,,,,,,,,,1 year,1976,,"for the calculation of the mos, the noael of 10 mg/kg bw/day, as deduced from this study, will be used. ",35,,,,,
disperse violet 1,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,in vivo,,,,,,,,,,,,,no,,"under the experimental conditions adopted, no adverse effects were observed with the tested preparation. ",,,,,5,hair dye fomrulation ,,,,,"test substance: 1,4-diamino-anthraquinone ",mouse/ hairless,,,,,,,,,,,,single daily ,,yes,,,,,,,,,,,,14 d,,,,2 (subm.1),,,,taken from sccnfp/0504/01,
